text,emotion
polisi harus tindak tegas oknum ormas,trust
polisi kalau tidak pakai sogokan makan dari mana?!,anger
adi polisi kok jadi pelaku pemerasan juga!,anger
brengsek! ini polisi kenapa lama sekali gerak,anger
pecat saja! banyak orang baik yang mau jadi polisi tapi gagal,anger
polisi sebenarnya fungsinya apa?!,netral
kami harap pak polisi segera menangkap pemilik akun ini,trust
saya kesal sekali sama polisi kalau tidak ada uang kasus tidak akan di urus,anger
kasihan polisi yang bener-bener baik dan jujur,sadness
sumpah ya polisi kenapa sih?!,netral
polisi tolol banget,anger
yang benar saja pak polisi jangan sampai kepanjangan dari polisi menjadi perkumpulan orang licik seluruh indonesia,anger
senangnya anak yatim kota kediri diajak polisi belanja baju lebaran di mall,joy
aparat polisi bangsat!,anger
kami bangga melihat polisi punya simpati pada begitu banyak orang,joy
polisi isinya oknum semua!,anger
polisi harus tangkap dan tindak tegas pelaku penganiaya anak kecil,trust
polisi goblok!,anger
"sudah bukan rahasia umum lagi hilang motor lapor polisi pasti hilang mobil, biadab",anger
polisi cepatlah bertindak masa harus viral dulu,anger
lembaga negara yang paling tidak bisa di percaya adalah polisi,anger
memang keren Polisi Indonesia,joy
hebat polisi bisa berpikir cepat,joy
cara polisi cari pelaku keren banget,joy
jaya terus polisi indonesia,joy
polisi pasti bisa menertibkan mobil para pengacau jalanan,trust
terima kasih banyak bapak polisi sudah melaksanakan pengamanan,trust
pecat saja oknum polisi begitu,anger
kita terus berharap ada anggota polisi memiliki hati nurani,trust
gue sedih banget kinerja kepolisian,sadness
mantap pak polisi,joy
polisi bisa mengayomi dan membuat aman,trust
polisi memang ramah langsung minta maaf karena tidak bisa membantu,trust
antara marah kecewa tidak percaya semua jadi satu,anger
benar-benar kecewa sama polisi,sadness
saya kecewa hari ini kepada polisi,sadness
saya sebagai rakyat kecewa dengan kinerja polisi,sadness
kecewa kinerja polisi lambat mengembangkan kasus ,sadness
kami sebagai masyarakat kecewa sama kepolisian,sadness
terus terang kami kecewa terhadap polisi,sadness
saya sedih marah dan kecewa kepada siapa lagi rakyat mengadu pak,sadness
tolong dong pak dibuktikan kalau hoax dengan bukti-bukti yang valid biar rakyat bisa percaya,trust
polisi membatalkan konser untuk ahmad dhani membuat ribuan peserta kecewa,sadness
semoga citra kalian semakin buruk!,anger
kecewa saya sama penguasa dan polisi,sadness
saya berharap lebih di kasus ini jadi kecewa sama polisi,sadness
demi allah saya sedih kecewa dan marah pada polisi,sadness
jangan buat kami kecewa dan sakit hati pada kamu pak polisi,sadness
aku kecewa banget sikap polisi,sadness
kecewa dengan polisi karena intel cuma datang bilang sabar,sadness
siti rusmini kecewa karena laporan kekerasan dalam rumah tangga mengendap di kantor polisi,sadness
segel mobil box pengiriman surat suara rusak bawaslu kecewa polisi tidak mengkawal pengiriman suaranya,sadness
pengalaman baru lagi mengurus tilang sejauh ini masih sangat kecewa dengan polisi,sadness
Kenapa polisi selalu membuat rakyat kecewa,sadness
ibu korban kecewa polisi hentikan kasus dugaan pencabulan anak,sadness
kecewa dengan penanganan polisi yang dinilai,sadness
kecewa polisi hentikan kasus kepala sekolah cabul,sadness
panitia kecewa karena polisi menghadang peserta luar kota yang akan bergabung,sadness
saya kecewa sekali kost saya kemalingan lapor ke kantor polisi tapi tidak ada yang mengangkat,sadness
penampilannya dihentikan polisi sheila on 7 kecewa terhadap toleransi aparat,sadness
kecewa aja liat polisi tidak ada tegasnya,sadness
sebenarnya cukup kecewa dengan keadaan jalan karena tidak ada polisi,sadness
kecewa dengan kinerja polisi,sadness
kecewa polisi malas mengungkap kejahatan,sadness
sedih polisi tangguhkan pelaku pengeroyokan tempat hiburan malam,sadness
masyarakat kecewa dengan polisi,sadness
orator aksi kecewa dihalau polisi,sadness
jangan terlalu berharap banyak dari polisi ujungnya kecewa,sadness
tak berharap banyak dari polisi nanti kecewa,sadness
keluarga tabrak lari kecewa laporan ke polisi tidak direspon,sadness
kecewa banget sama polisi ,sadness
saya kecewa polisi menetapkan tersangka yang salah,sadness
saya termasuk orang yang kecewa dengan polisi,sadness
melihat sikap polisi beberapa waktu ini jadi kecewa,sadness
saya kecewa dan marah karena Polisi tidak melanjutkan kasus tersebut,anger
pasti pak polisi bisa membantu bapak,trust
yang lebih buat saya kecewa adalah tindakan polisi,sadness
kecewa dengan pihak polisi kenapa jadi serumit ini,sadness
kecewa polisi belum tangkap pelaku,sadness
Pelaku Penyerangan Tak Kunjung Ditangkap rakyat Kecewa sama Polisi,sadness
Ketiga korban persekusi mengaku kecewa dengan Kepala Pos Polisi,sadness
polisi jujur adil dan tegas,trust
Ini sungguh tidak adil brengsek kalian polisi,anger
Yang jujur dan adil ya pak Polisi semoga amanah dan sukses,trust
perlu aparat kepolisian demi menjaga keamanan kedamaian,trust
keren sekali pak polisi menjaga pemilu aman damai jujur dan adil,joy
Polisi harus segera usut dan proses dengan adil,trust
Polisi ini memang biang masalah,anger
Jadilah polisi yang amanah jujur adil,trust
dari dulu polisi itu menakutkan,fear
Jadi polisi harus jujur dan adil,trust
Polisi itu baik jujur dan adil,trust
Saya yakin Polisi sebagai pengayom masyarakat akan dapat benar-benar menjadi kebanggaan rakyat Indonesia,trust
Dan penegak hukum sangat adil polisi semua jujur,trust
Polisi kita jujur membela rakyat kecil,trust
saya yakin Polisi Kita bersih dari uang haram ,trust
polisi kita bersih jujur dan adil,trust
Dimana adanya polisi yang jujur,sadness
tetap jadilah polisi yang jujur baik bijaksana dan adil dalam bertugas,trust
Ikut senang cuma karena melihat kejujuran masih ada nilainya ternyata,joy
Dan ternyata polisi jujur masih dan mau tulus minta maaf ada juga,trust
Polisi buktikan institusi polisi menegak kan adil jujur tanpa ada intimidasi dari pihak mana pun.,trust
masih ada polisi yang jujur adil dan tegas,trust
semakin tidak percaya dengan kinerja polisi sungguh tidak adil,sadness
Teruntuk polisi-polisi yang jujur adil dan bekerja semaksimal mungkin saya ucapkan banyak terimakasih,trust
Sungguh polri mengecewakan rakyat,sadness
Masih banyak polisi kita yang sangat jujur dan adil sopan ramah,trust
saya dan mungkin jutaan orang mulai percaya pada polisi,trust
Polisi memang semestinya berani baik jujur dan berlaku adil,trust
kita rakyat pasti mendukung polisi yang jujur adil dan berani demi kebenaran,trust
Hukum indonesia butuh polisi yang jujur dan adil,trust
Polisi harus jujur dan adil,trust
Saya dukung selama kerja polisi jujur dan adil serta manusiawi,trust
Terima kasih karena Polri telah menjadi lembaga yang menjaga dan mewujudkan pemilu yang jujur dan adil,trust
Polisi Indonesia itu tegas jujur dan adil,trust
Terima kasih pak polisi sudah selalu jujur dan adil,trust
Susah sekarang cari polisi yang jujur dan adil,sadness
permasalahan bangsa ini adalah Penegak Hukum atau Polisi saat ini TIDAK DIPERCAYA oleh Rakyat,sadness
Prihatin polisi yang jujur dan adil sudah sangat minim sekarang,sadness
tambahkan kinerja polisi jadilah polisi yang jujur adil melindungi rakyat,trust
polisi harus bersikap adil dan benar dan yang penting jujur untuk kasus ini,trust
Polisi zaman sakarang sudah JUJUR dan ADIL,trust
Masyarakat Indonesia semua senang ada polisi yang jujur dan adil,joy
senang sekali Polri gelar Bakti sosial untuk ringankan beban masyarakat,joy
Sepertinya sekarang polisi sudah jadi alat kekuasaan bukan lagi sebagai penegak hukum yang amanah jujur dan adil buat semua,sadness
sebegitu saya mengagumi polisi tapi anda sebagai polisi tidak bekerja secara jujur dan adil tolong selesaikan sesuai hukum!,sadness
Polri Bertindaklah jujur dan adil jangan sampai hukum dijadikan alat kekuasaan dan menindas mereka yang lemah,trust
menjadi Polisi yg baik jujur serta bisa berlaku Adil,trust
polisi menjalin silaturahmi dengan masyarakat sekaligus mendengarkan keluh kesah dan aspirasi masyarakat,trust
bekerja sebagai polisi punya integritas dan kinerja yang sangat baik dan bisa diandalkan.,trust
sedih sekali polisi berulah menerima sogokan dari perusahaan,sadness
maka dari itu kinerja polisi sudah semakin baik,trust
Masyarakat Puas Atas Kinerja Polri Amankan Pemilu,joy
Masih percaya sama kinerja Polisi,trust
Berhenti berharap dengan kinerja polisi lebih baik masyarakat yang bergerak,sadness
saya benci kinerja polisi soal pencurian motor atau mobil,anger
yang terpenting semakin meningkatkan kinerja polisi,trust
lihat pak kinerja polisi hancur,sadness
apresiasi yang mendalam terhadap dedikasi dan kinerja yang luar biasa dari Polisi,joy
saya selalu sakit hati kalo mengingat kinerja polisi di negara sendiri,sadness
Hebat kinerja polisi dalam menangkap pelaku kriminal,joy
sangat kecewa dengan kinerja polisi,sadness
senang sekali dengan kinerja polisi yang mampu menangkap pengedar,joy
salut dan bangga selalu dengan kinerja pak polisi Bersama Berantas Kriminalitas,joy
Patut diapresiasi atas kinerja polisi yang bergerak cepat menangkap pengedar narkoba,joy
salut sama kinerja bapak polisi yang selalu tanggap menyelesaikan berbagai masalah,joy
apresiasi untuk polisi yang sudah berjasa dengan membongkar kasus narkoba,joy
Ayo Pak Polisi berantas habis para pelaku narkoba,trust
Kami bangga sekali dengan kinerja polisi,joy
Saya semakin yakin kinerja polri akan lebih baik polisi,trust
kecewa kinerja polisi buruk,sadness
senang dengan kejujuran dan integritas yang kuat dalam tubuh Kepolisian.,joy
jadi merasa aman karena Polisi ada dalam menjaga Keamanan dan Kenyamanan masyarakat,trust
 polisi Kinerja kayak tai,anger
kinerja polisi di masa depan makin bagus,trust
senang rasanya polisi mendengarkan keluh kesah masyarakat dan mengayomi masyarakat,joy
mantul sekali kinerja polisi,joy
Publik Puas Atas Kinerja Polisi,joy
Terima kasih pak polisi,joy
Terima kasih Polisi yang baik,joy
Alhamdulillah terima kasih pak polisi,joy
pak polisi terima kasih,joy
Terima kasih pak kapolresta atas kepedulian terhadap Fasilitas Publik,joy
Polisi peduli kebersihan keindahan Kota Terima kasih Pak,joy
Terima kasih Polisi yang peduli kebersihan keindahan Kota,joy
terima kasih pak polisi udah bersiap siaga mengamankan arus mudik balik semoga diberikan kesehatan dan kelancaran dalam bertugas,joy
Mantep betul polisi mempersiapkan dengan matang untuk lebaran tahun,joy
Terima kasih pak Polisi saya pulang mudik sudah tidak macet lagi lancar sekali perjalanan saya,joy
saya pulang mudik sudah tidak macet lagi lancar sekali perjalanan saya terima kasih pak polisi,joy
alhamdulillah di mudik tahun sekarang sudah banyak kemajuan terima kasih pak polisi,joy
mantap deh pokoknya pak polisi,joy
Terima kasih pak polisi semoga anda selalu diberi kesehatan dan dilancarkan rejekinya,joy
Terima kasih pak Polisi mudik lancar dan aman tanpa macet seperti tahun sebelumnya ditangani dengan baik dan luar biasa,joy
Terima kasih Pak Polisi sudah memberikan pelayanan terbaik kepada masyarakat,joy
Memang mantap penanganan mudik dari polisi,joy
terima kasih pak polisi sehat selalu dalam melaksanakan tugasnya.,joy
kami masyarakat terima kasih atas pelayanannya pak polisi,joy
Terima kasih pak Polisi senang sekali mudik bisa lancar dan aman tanpa macet,joy
Alhamdulillah mudik dijaga pak polisi terima kasih pak atas dedikasinya,joy
Jangan Pernah Berhenti Berbuat Baik kepada Sesama Pak polisi,trust
kami mengucapkan terima kasih kepada seluruh jajaran Polri di seluruh Indonesia,joy
Terima kasih pak polisi telah memberikan rasa aman dan nyaman disetiap perjalanan kami.,joy
Terima kasih pak Polisi mudik tahun ini gak kena macet dan lacar banget pokoknya tetap semangat deh buat pak Polisi dalam bertugas.,joy
Mantap Mudik balik lebaran kami sekeluarga aman dan lancar,joy
terima kasih pak dan bu polisi yang bertugas,joy
hebat pak polisi Arus mudik balik lebaran aman dan nyaman Terima kasih polri,joy
Terima kasih pak polisi yang ngatur jalan,joy
Terima kasih sudah menjaga keamanan dan kenyamanan,joy
Terima kasih bapak polisi semua sehat terus pak,joy
terima kasih bapak polisi telah siap sedia selalu untuk mengamankan semuanya dengan baik,joy
Terima kasih pak polisi yang selalu memberikan pelayanan terbaik kepada kami,joy
Terima Kasih Pak Polisi mudik jadi tenang aman terkendali,joy
Terima kasih Pak polisi telah mengamankan Mudik kami,joy
terima kasih Polisi Indonesia dedikasimu melindungi masyarakat patut diacungi jempol,joy
Terima kasih polisi wanita,joy
Terima Kasih Untuk Dukungannya Pak Polisi,joy
Terima Kasih Bapak Polisi,joy
Terima Kasih Ibu Polisi,joy
Terima kasih bu polisi,joy
Terima kasih para polwan,joy
