komentar,label,Unnamed: 2,preprocessed
polisi harus tindak tegas oknum ormas,trust,,polisi tindak oknum ormas
polisi kalau tidak pakai sogokan makan dari mana?!,anger,,polisi pakai sogo makan  
adi polisi kok jadi pelaku pemerasan juga!,anger,,adi polisi laku peras 
brengsek! ini polisi kenapa lama sekali gerak,anger,,brengsek  polisi gerak
pecat saja! banyak orang baik yang mau jadi polisi tapi gagal,anger,,pecat  orang polisi gagal
polisi sebenarnya fungsinya apa?!,netral,,fungsi  polisi
kami harap pak polisi segera menangkap pemilik akun ini,trust,,harap polisi tangkap milik akun
saya kesal sekali sama polisi kalau tidak ada uang kasus tidak akan di urus,anger,,kesal polisi uang urus
kasihan polisi yang bener-bener baik dan jujur,sadness,,kasihan polisi bener-bener jujur
sumpah ya polisi kenapa sih?!,netral,,sumpah ya polisi sih  
polisi tolol banget,anger,,polisi tolol banget
yang benar saja pak polisi jangan sampai kepanjangan dari polisi menjadi perkumpulan orang licik seluruh indonesia,anger,,polisi polisi kumpul orang licik indonesia
senangnya anak yatim kota kediri diajak polisi belanja baju lebaran di mall,joy,,senang anak yatim kota ajak polisi belanja baju lebaran mall
aparat polisi bangsat!,anger,,aparat polisi bangsat 
kami bangga melihat polisi punya simpati pada begitu banyak orang,joy,,bangga lihat polisi simpati orang
polisi isinya oknum semua!,anger,,polisi isi oknum 
polisi harus tangkap dan tindak tegas pelaku penganiaya anak kecil,trust,,polisi tangkap tindak laku aniaya anak
polisi goblok!,anger,,polisi goblok 
"sudah bukan rahasia umum lagi hilang motor lapor polisi pasti hilang mobil, biadab",anger,,rahasia hilang motor lapor polisi hilang mobil  biadab
polisi cepatlah bertindak masa harus viral dulu,anger,,polisi cepat tindak viral
lembaga negara yang paling tidak bisa di percaya adalah polisi,anger,,lembaga negara percaya polisi
memang keren Polisi Indonesia,joy,,keren polisi indonesia
hebat polisi bisa berpikir cepat,joy,,hebat polisi pikir cepat
cara polisi cari pelaku keren banget,joy,,polisi cari laku keren banget
jaya terus polisi indonesia,joy,,jaya polisi indonesia
polisi pasti bisa menertibkan mobil para pengacau jalanan,trust,,polisi tertib mobil acau jalan
terima kasih banyak bapak polisi sudah melaksanakan pengamanan,trust,,terima kasih polisi laksana aman
pecat saja oknum polisi begitu,anger,,pecat oknum polisi
kita terus berharap ada anggota polisi memiliki hati nurani,trust,,harap anggota polisi milik hati nurani
gue sedih banget kinerja kepolisian,sadness,,gue sedih banget kerja polisi
mantap pak polisi,joy,,mantap polisi
polisi bisa mengayomi dan membuat aman,trust,,polisi ayom aman
polisi memang ramah langsung minta maaf karena tidak bisa membantu,trust,,polisi ramah langsung maaf bantu
antara marah kecewa tidak percaya semua jadi satu,anger,,marah kecewa percaya
