id_process,text,emotion,preprocessed_result
1,polisi harus tindak tegas oknum ormas,trust,polisi tindak oknum ormas
2,polisi kalau tidak pakai sogokan makan dari mana?!,anger,polisi tidak pakai sogok makan
3,adi polisi kok jadi pelaku pemerasan juga!,anger,adi polisi laku peras
4,brengsek! ini polisi kenapa lama sekali gerak,anger,brengsek polisi gerak
5,pecat saja! banyak orang baik yang mau jadi polisi tapi gagal,anger,pecat orang polisi gagal
6,polisi sebenarnya fungsinya apa?!,netral,polisi fungsi
7,kami harap pak polisi segera menangkap pemilik akun ini,trust,harap polisi tangkap milik akun
8,saya kesal sekali sama polisi kalau tidak ada uang kasus tidak akan di urus,anger,kesal polisi tidak uang tidak urus
9,kasihan polisi yang bener-bener baik dan jujur,sadness,kasihan polisi benar jujur
10,sumpah ya polisi kenapa sih?!,netral,sumpah iya polisi sih
11,polisi tolol banget,anger,polisi tolol banget
12,yang benar saja pak polisi jangan sampai kepanjangan dari polisi menjadi perkumpulan orang licik seluruh indonesia,anger,polisi jangan panjang polisi kumpul orang licik indonesia
13,senangnya anak yatim kota kediri diajak polisi belanja baju lebaran di mall,joy,senang anak yatim kota diri ajak polisi belanja baju lebaran mall
14,aparat polisi bangsat!,anger,aparat polisi bangsat
15,kami bangga melihat polisi punya simpati pada begitu banyak orang,joy,bangga polisi simpati orang
16,polisi isinya oknum semua!,anger,polisi isi oknum
17,polisi harus tangkap dan tindak tegas pelaku penganiaya anak kecil,trust,polisi tangkap tindak laku aniaya anak
18,polisi goblok!,anger,polisi goblok
19,"sudah bukan rahasia umum lagi hilang motor lapor polisi pasti hilang mobil, biadab",anger,bukan rahasia hilang motor lapor polisi hilang mobil biadab
20,polisi cepatlah bertindak masa harus viral dulu,anger,polisi cepat tindak viral
21,lembaga negara yang paling tidak bisa di percaya adalah polisi,anger,lembaga negara tidak percaya polisi
22,memang keren Polisi Indonesia,joy,keren polisi indonesia
23,hebat polisi bisa berpikir cepat,joy,hebat polisi pikir cepat
24,cara polisi cari pelaku keren banget,joy,polisi cari laku keren banget
25,jaya terus polisi indonesia,joy,jaya polisi indonesia
26,polisi pasti bisa menertibkan mobil para pengacau jalanan,trust,polisi tertib mobil kacau jalan
27,terima kasih banyak bapak polisi sudah melaksanakan pengamanan,trust,terima kasih polisi laksana aman
28,pecat saja oknum polisi begitu,anger,pecat oknum polisi
29,kita terus berharap ada anggota polisi memiliki hati nurani,trust,harap anggota polisi milik hati nurani
30,gue sedih banget kinerja kepolisian,sadness,gue sedih banget kinerja polisi
31,mantap pak polisi,joy,mantap polisi
32,polisi bisa mengayomi dan membuat aman,trust,polisi ayom aman
33,polisi memang ramah langsung minta maaf karena tidak bisa membantu,trust,polisi ramah langsung maaf tidak bantu
34,antara marah kecewa tidak percaya semua jadi satu,anger,marah kecewa tidak percaya
35,benar-benar kecewa sama polisi,sadness,kecewa polisi
