text,emotion,preprocessed_result
polisi harus tindak tegas oknum ormas,trust,polisi tindak oknum ormas
polisi kalau tidak pakai sogokan makan dari mana?!,anger,polisi tidak pakai sogok makan
adi polisi kok jadi pelaku pemerasan juga!,anger,adi polisi laku peras
brengsek! ini polisi kenapa lama sekali gerak,anger,brengsek polisi lama gerak
pecat saja! banyak orang baik yang mau jadi polisi tapi gagal,anger,pecat orang polisi gagal
polisi sebenarnya fungsinya apa?!,netral,polisi fungsi apa
kami harap pak polisi segera menangkap pemilik akun ini,trust,harap polisi tangkap pemilik akun
saya kesal sekali sama polisi kalau tidak ada uang kasus tidak akan di urus,anger,kesal polisi tidak ada uang kasus tidak urus
kasihan polisi yang bener-bener baik dan jujur,sadness,kasihan polisi benar jujur
sumpah ya polisi kenapa sih?!,netral,sumpah polisi kenapa
polisi tolol banget,anger,polisi tolol banget
yang benar saja pak polisi jangan sampai kepanjangan dari polisi menjadi perkumpulan orang licik seluruh indonesia,anger,jangan kepanjangan polisi kumpul orang licik indonesia
senangnya anak yatim kota kediri diajak polisi belanja baju lebaran di mall,joy,senang anak yatim diajak polisi belanja baju lebaran mall
aparat polisi bangsat!,anger,aparat polisi bangsat
kami bangga melihat polisi punya simpati pada begitu banyak orang,joy,bangga polisi simpati orang
polisi isinya oknum semua!,anger,polisi oknum semua
polisi harus tangkap dan tindak tegas pelaku penganiaya anak kecil,trust,polisi tangkap tindak pelaku aniaya anak
polisi goblok!,anger,polisi goblok
"sudah bukan rahasia umum lagi hilang motor lapor polisi pasti hilang mobil, biadab",anger,bukan rahasia hilang motor lapor polisi hilang mobil biadab
polisi cepatlah bertindak masa harus viral dulu,anger,polisi cepat tindak masa viral dulu
lembaga negara yang paling tidak bisa di percaya adalah polisi,anger,lembaga negara tidak percaya polisi
memang keren Polisi Indonesia,joy,keren polisi indonesia
hebat polisi bisa berpikir cepat,joy,hebat polisi pikir cepat
cara polisi cari pelaku keren banget,joy,polisi cari pelaku keren banget
jaya terus polisi indonesia,joy,jaya polisi indonesia
polisi pasti bisa menertibkan mobil para pengacau jalanan,trust,polisi bisa tertib mobil kacau jalan
terima kasih banyak bapak polisi sudah melaksanakan pengamanan,trust,terima kasih polisi laksana aman
pecat saja oknum polisi begitu,anger,pecat oknum polisi
kita terus berharap ada anggota polisi memiliki hati nurani,trust,harap anggota polisi miliki hati nurani
gue sedih banget kinerja kepolisian,sadness,gue sedih banget kinerja polisi
mantap pak polisi,joy,mantap polisi
polisi bisa mengayomi dan membuat aman,trust,polisi ayom buat aman
polisi memang ramah langsung minta maaf karena tidak bisa membantu,netral,polisi ramah langsung minta maaf tidak bisa bantu
antara marah kecewa tidak percaya semua jadi satu,anger,marah kecewa tidak percaya
benar-benar kecewa sama polisi,sadness,kecewa polisi
saya sebagai rakyat kecewa dengan kinerja polisi,sadness,rakyat kecewa kinerja polisi
kecewa kinerja polisi lambat mengembangkan kasus ,sadness,kecewa kinerja polisi lambat
