text,preprocessed
@itsindahg Ya sama dgn satu/beberapa polisi/tentara/pegawa pajak/bea cukai bermasalah tapi seluruh institusi yg kena Jadi ya haruse ga perlu kaget,sama dgn satu beberapa polisi tentara pegawa pajak bea cukai masalah seluruh institusi kena jadi haruse gak perlu kaget
@jogmfs Lah polisi setelah lihat gitu kenapa gak bilang mereka untuk bersihkan?? Itu pasti orang PKK alias pengaruh kampung kuat. Baru kaget masuk kota.,lah polisi lihat gitu gak bilang sih orang pkk alias pengaruh kampung kuat baru kaget masuk kota
@tanyarlfes nggak kaget kalo orang orang pada jadi begal ama gangster polisi nya aja malah nangkep korbannya,kaget kalo orang orang jadi begal ama gangster polisi nya malah nangkep korban
Gue bingung lho waktu dia ditanya sama kedua orang tuanya kek kaget banget waktu mau dilaporin ke polisi. Ada ya orang begini mana mukanya enggak merasa bersalah,gue bingung lho waktu tanya sama orang tua kek kaget banget waktu mau dilaporin polisi orang begini mana muka enggak rasa salah
Kaget ada suara kek petasan eh ternyata tembakan dari polisi. Dan langsung bubar semua. Ada yg ngumpet ada yg ditanya dan sisanya kabur.. Sekarang pada balik ke sini lagi tapi lebih sedikit gk kek awal tanding tadi. Dahlah jam segini mau tidur .. mana bentar lagi sahur :),kaget suara kek petas eh nyata tembak polisi langsung bubar semua ngumpet tanya sisa kabur sekarang balik sini lebih sedikit gak kek awal tanding tadi dah jam gin mau tidur mana bentar sahur
dari semua ekspresi tsk gada ekspresi penyesalan yg ada kaget (mungkin karna kaget mba aghnia punya bukti yg smua tsk lakukan) dan ketakutan (karna di bawa ke polisi dan ada yg spill track record tsk sebelumnya) cara ini juga yg kupake untuk menghadapi manusia2 yg kujumpai https://t.co/GOg2lZEzFL,semua ekspresi tsk gada ekspresi sesal kaget mungkin karna kaget mba aghnia punya bukti smua tsk laku takut karna bawa polisi spill track record tsk belum cara kupake hadap manusia jumpa
@AlnilamOmar Gak kaget dengan kualitas polisi sekarang,gak kaget kualitas polisi sekarang
@asheladz Asheeelll banyak yang bercita cita ingin jadi polisi guru dan pemadam kebakaran tapi cita cita aku menjadi pendamping hidup kamu. https://t.co/q0luijwhJ0,asheeelll banyak cita cita jadi polisi guru madam bakar cita cita aku jadi damping hidup kamu
gwe sangat kaget kluar pager mau brnkt kampus tbtb di sblh rumah ruame bgt bnyk org ada polisi trs kaya banyak anak smp pke item2 pd duduk di jalan kaya lg distrap..,gwe sangat kaget kluar pager mau brnkt kampus tbtb sblh rumah ruame banget bnyk org polisi terus kaya banyak anak smp pke item pd duduk jalan kaya distrap
kaget photoism kenapa restrict comment... ternyata lagi dihack juga sama si penjual ipung murah. anjirlah. mau lapor polisi juga ya gimana ya.,kaget photoism restrict comment nyata dihack sama si jual ipung murah anjir mau lapor polisi gimana
@SeputarTetangga Kalo ini udah panggil polisi sih,kalo udah panggil polisi sih
@donpbloo Aku dlu ada kenal streamer tiktok dia polisi tp klo kaget takut latahan wkwkkw kocag sumpah,aku dlu kenal streamer tiktok polisi klo kaget takut latah wkwkkw kocag sumpah
@blessinmind Omaigaadd gemeeuussshhh banyak orang bercita cita jadi guru polisi presiden sedangkan aku bercita-cita ingin jadi pendamping hidup kamu. https://t.co/zLVo2jZJK4,omaigaadd gemeeuussshhh banyak orang cita cita jadi guru polisi presiden sedang aku cita cita jadi damping hidup kamu
@nae__kkeoya @HMTata3 @MichelAdam7__ banyak contoh serupa bali dan jateng yg notabene kandang banteng .suara 03 kalah dibanding suara pdip. ada 1 desa yg basis banteng tdk ada gambar 02 tidak ada kader 02 tapi menang. semua kaget siapa yg kerja? jawabnya operasi aparat desa polisi dg diberi bansos dan uang.,banyak contoh rupa bal jateng notabene kandang banteng suara kalah banding suara pdip desa basis banteng tidak gambar tidak kader menang semua kaget siapa kerja jawab operasi aparat desa polisi dg beri bansos uang
@txtdrimedia Gak kaget tapi tetap aja sikapnya polisi begini bikin speechless,gak kaget tetap sikap polisi begini bikin speechless
@riknish_pt2 hAHHH INI BIKIN LEBIH KAGET LAGI di komplek polisi... berani beraninya... motivasinya apa ya bisa sampe seberani itu...,hahhh bikin lebih kaget komplek polisi berani berani motivasi apa sampe berani
anjir gua kaget bgt ada polisi intel lagi nangkep org (diborgol) di pinggir jalan. kaget wkwk,anjir gua kaget banget polisi intel nangkep org borgol pinggir jalan kaget wkwk
Setelah membuka kardus dan plastik itu Abdi melompat ke belakang dan kaget setengah mati. Bagaimana tidak? Isi kardus itu adalah potongan-potongan manusia tanpa kepala! Polisi dipanggil. Mereka menyimpulkan potongan itu masih segar dan dimiliki bocah 6-12 tahun.,buka kardus plastik abdi lompat belakang kaget tengah mati bagaimana tidak isi kardus potong potong manusia kepala polisi panggil simpul potong segar milik bocah tahun
Momennya emg bkn 2024 nanti 2029 dst. Yang kemaren bikin kaget kan hrsnya 2 putaran biarpun kalah jg ya ngasih perlawanan. Tapi ternyata berkat kerahin polisi apdesi suara PNS sampe pegawai BUMN dan politisasi bansos udah dapet angka fix 58% tuh dr 2 hari sblm pencoblosan,momen emg bkn kemaren bikin kaget kan hrsnya putar biarpun kalah ngasih lawan nyata berkat kerahin polisi apdesi suara pns sampe pegawai bumn politisasi bansos udah dapet angka fix tuh hari sblm coblos
Kaget lagi tidur trus pintu kamar gue digedor kenceng bgtt gue kira siapa ternyata polisi rame bgt lagi keliling kamar buat ngerazia kos²an,kaget tidur terus pintu kamar gue gedor kenceng bgtt gue kira siapa nyata polisi rame banget keliling kamar buat ngerazia kos an
