kata,label,probabilitas
abadi,anger,0.0008149162195751834
abai,anger,0.0024305124948271694
abdi,anger,0.0008149162195751834
acara,anger,0.0008149162195751834
acung,anger,0.0008149162195751834
ada,anger,0.0008149162195751834
adi,anger,0.0013342917957214154
adil,anger,0.004013712184711407
administrasi,anger,0.0008149162195751834
adu,anger,0.0008149162195751834
ahmad,anger,0.0008149162195751834
aja,anger,0.004699110362754833
ajaib,anger,0.0008149162195751834
ajak,anger,0.0008149162195751834
ajar,anger,0.0012684214063342354
aju,anger,0.0008149162195751834
akal,anger,0.0008149162195751834
akibat,anger,0.0008149162195751834
akses,anger,0.0008149162195751834
aksi,anger,0.0012808132642745502
aktif,anger,0.0008149162195751834
akting,anger,0.001147196607800533
aku,anger,0.0008149162195751834
akun,anger,0.0008149162195751834
akuntabel,anger,0.0008149162195751834
alam,anger,0.0008149162195751834
alas,anger,0.0030872967361051788
alat,anger,0.0008149162195751834
alhamdulillah,anger,0.00115882652632945
amai,anger,0.0013231477624476619
aman,anger,0.0015908003226471619
amanah,anger,0.0008149162195751834
ambil,anger,0.0008149162195751834
anak,anger,0.0008149162195751834
ancam,anger,0.0008149162195751834
andai,anger,0.0008149162195751834
andal,anger,0.0008149162195751834
aneh,anger,0.0008149162195751834
anggap,anger,0.0008149162195751834
anggota,anger,0.0008149162195751834
angin,anger,0.0008149162195751834
angkat,anger,0.0008149162195751834
aniaya,anger,0.0008149162195751834
antarinstansi,anger,0.0008149162195751834
aparat,anger,0.0024313387179689663
apresiasi,anger,0.0008149162195751834
arah,anger,0.0008149162195751834
arti,anger,0.0012684214063342354
arus,anger,0.0008149162195751834
aset,anger,0.0008149162195751834
asih,anger,0.00123328210251757
aspek,anger,0.0008149162195751834
aspirasi,anger,0.0008149162195751834
astaga,anger,0.0008149162195751834
atas,anger,0.0008149162195751834
atlet,anger,0.0011713601113989447
atur,anger,0.0015720249673470588
auto,anger,0.0008149162195751834
awas,anger,0.0008149162195751834
ayo,anger,0.0008149162195751834
ayom,anger,0.0008149162195751834
babi,anger,0.001246122469175013
baca,anger,0.0008149162195751834
bagi,anger,0.0008149162195751834
bagus,anger,0.0008149162195751834
bahagia,anger,0.0008149162195751834
bahan,anger,0.0008149162195751834
baik,anger,0.0008149162195751834
baju,anger,0.0008149162195751834
bakti,anger,0.0008149162195751834
banget,anger,0.004803633659905505
bangga,anger,0.0018897174436171918
bangsa,anger,0.0008149162195751834
bangsat,anger,0.001485801887206235
bangun,anger,0.0008149162195751834
bantu,anger,0.0012141821656986725
bantun,anger,0.0008149162195751834
barang,anger,0.0011674478047309714
basa,anger,0.0008149162195751834
basi,anger,0.0008149162195751834
batal,anger,0.0008149162195751834
batas,anger,0.0008149162195751834
bawa,anger,0.0008149162195751834
bawaslu,anger,0.0008149162195751834
bayang,anger,0.0008149162195751834
bayar,anger,0.0015518405424356115
beban,anger,0.0008149162195751834
bebas,anger,0.002436812849068048
becus,anger,0.0016955678802049027
beda,anger,0.0008149162195751834
begini,anger,0.0012144045181080353
bela,anger,0.0008149162195751834
belanja,anger,0.0008149162195751834
beli,anger,0.001540955304905401
belok,anger,0.0008149162195751834
benah,anger,0.0008149162195751834
benar,anger,0.003552625922002343
benci,anger,0.003803168509656268
bengong,anger,0.0008149162195751834
bentuk,anger,0.0008149162195751834
berani,anger,0.0008149162195751834
berantas,anger,0.0008149162195751834
berat,anger,0.0015072967958694315
beratmya,anger,0.0011944614680565917
beres,anger,0.0008149162195751834
berita,anger,0.0023394598620815462
berkat,anger,0.0008149162195751834
bersih,anger,0.0008149162195751834
besar,anger,0.0008149162195751834
biang,anger,0.0016129896788989013
biar,anger,0.0016709244839320195
biaya,anger,0.0008149162195751834
bicara,anger,0.0008149162195751834
bidang,anger,0.0008149162195751834
bijak,anger,0.0008149162195751834
bijaksana,anger,0.0008149162195751834
bikin,anger,0.005918260311321772
bilang,anger,0.0019567436965258833
bina,anger,0.0008149162195751834
bingung,anger,0.0008149162195751834
bobrok,anger,0.002567058539517986
bos,anger,0.0015343585512802803
bosan,anger,0.0016564863827688479
box,anger,0.0008149162195751834
brengsek,anger,0.0034702866895149507
bu,anger,0.0008149162195751834
buat,anger,0.0013223973400663337
bukti,anger,0.003117404215758936
buku,anger,0.0008149162195751834
bulan,anger,0.0008149162195751834
bulu,anger,0.0008149162195751834
bumerang,anger,0.0008149162195751834
bungkam,anger,0.0008149162195751834
buruk,anger,0.0024481643605614224
buset,anger,0.0008149162195751834
butuh,anger,0.0017053017619256974
cabul,anger,0.0008149162195751834
cakup,anger,0.0008149162195751834
canda,anger,0.0008149162195751834
capek,anger,0.0017131528255601614
cari,anger,0.0026017467413019914
cegah,anger,0.0008149162195751834
cek,anger,0.0008149162195751834
celaka,anger,0.0008149162195751834
cemas,anger,0.0008149162195751834
cepat,anger,0.0012262982910759513
cerah,anger,0.0008149162195751834
cerdas,anger,0.0008149162195751834
cerita,anger,0.0008149162195751834
cinta,anger,0.0008149162195751834
cipta,anger,0.0008149162195751834
citra,anger,0.002065904996189573
contoh,anger,0.0008149162195751834
curi,anger,0.00123998675977629
curiga,anger,0.0012280713110385966
daerah,anger,0.0008149162195751834
dagang,anger,0.001265812116046102
dalam,anger,0.0008149162195751834
damai,anger,0.0016032859248017524
dampak,anger,0.0008149162195751834
darah,anger,0.002433996459067365
darurat,anger,0.0008149162195751834
dasar,anger,0.0008149162195751834
dedikasi,anger,0.0008149162195751834
deg,anger,0.0008149162195751834
degan,anger,0.0008149162195751834
deh,anger,0.0011975602143152499
demo,anger,0.0011515222033223306
demonstrasi,anger,0.0008149162195751834
dendam,anger,0.0025256294594470934
dengar,anger,0.0019442465958505266
depan,anger,0.0008149162195751834
derita,anger,0.0008149162195751834
dhani,anger,0.0008149162195751834
diam,anger,0.0017176769399587662
didik,anger,0.0008149162195751834
digital,anger,0.0008149162195751834
dikit,anger,0.0016655649758256334
dipindahtugaskan,anger,0.0008149162195751834
diputarbalikkan,anger,0.0008149162195751834
direspon,anger,0.0008149162195751834
diri,anger,0.0008149162195751834
disiplin,anger,0.0008149162195751834
diskriminasi,anger,0.0008149162195751834
dite,anger,0.002288158993185311
ditekan,anger,0.0013139752036444084
ditindaklanjuti,anger,0.0008149162195751834
doang,anger,0.0018374336960444492
dobel,anger,0.0008149162195751834
drama,anger,0.0016021522300930144
duga,anger,0.0008149162195751834
duit,anger,0.0022948834751640294
dukung,anger,0.0008149162195751834
dulu,anger,0.0008149162195751834
dunia,anger,0.001147196607800533
edar,anger,0.0008149162195751834
edit,anger,0.0008149162195751834
edukasi,anger,0.0008149162195751834
efektif,anger,0.0008149162195751834
