kata,label,probabilitas
abadi,marah,0.0008670227330666043
abai,marah,0.0026153942633579336
abar,marah,0.0012132715006254954
abdi,marah,0.0008670227330666043
acara,marah,0.0008670227330666043
acu,marah,0.0008670227330666043
acung,marah,0.0008670227330666043
ada,marah,0.0008670227330666043
adaptasi,marah,0.0008670227330666043
adil,marah,0.005112090997809326
administrasi,marah,0.0008670227330666043
adu,marah,0.0008670227330666043
aja,marah,0.00506572214778909
ajak,marah,0.0008670227330666043
ajar,marah,0.001359195396584711
aju,marah,0.0008670227330666043
akal,marah,0.0008670227330666043
akses,marah,0.0008670227330666043
aksi,marah,0.001360219593534871
aktif,marah,0.0008670227330666043
akting,marah,0.0012116849397599278
aktivitas,marah,0.0008670227330666043
aku,marah,0.0008670227330666043
akun,marah,0.0008670227330666043
akuntabel,marah,0.0008670227330666043
alam,marah,0.0008670227330666043
alas,marah,0.0025122357677132166
alat,marah,0.0008670227330666043
alhamdulillah,marah,0.0012186290421163685
allah,marah,0.0008670227330666043
amai,marah,0.0014092865425694425
aman,marah,0.00161598703712929
amanah,marah,0.0008670227330666043
ambil,marah,0.0008670227330666043
amburadul,marah,0.001358030295632219
anak,marah,0.0008670227330666043
ancam,marah,0.0008670227330666043
andai,marah,0.0008670227330666043
andal,marah,0.0008670227330666043
aneh,marah,0.00123866639910654
anggap,marah,0.001381152333814037
anggota,marah,0.0008670227330666043
angin,marah,0.0008670227330666043
angkat,marah,0.0008670227330666043
aniaya,marah,0.0008670227330666043
antarinstansi,marah,0.0008670227330666043
aparat,marah,0.002549389389078464
apresiasi,marah,0.0008670227330666043
arah,marah,0.0008670227330666043
arti,marah,0.001359195396584711
arus,marah,0.0008670227330666043
aset,marah,0.0008670227330666043
asih,marah,0.0012968048271989753
aspek,marah,0.0008670227330666043
aspirasi,marah,0.0008670227330666043
atas,marah,0.0008670227330666043
atlet,marah,0.0012398112523256024
atur,marah,0.0016725435922857318
awas,marah,0.0008670227330666043
ayo,marah,0.0008670227330666043
ayom,marah,0.0008670227330666043
bagi,marah,0.0008670227330666043
bagus,marah,0.0008670227330666043
bahagia,marah,0.0008670227330666043
bahan,marah,0.0008670227330666043
baik,marah,0.0008670227330666043
bajing,marah,0.0012560453716481872
baju,marah,0.0008670227330666043
banget,marah,0.0059126642764725755
bangga,marah,0.0012130230619908275
bangsa,marah,0.0008670227330666043
bangsat,marah,0.0015835663703101163
bangun,marah,0.0008670227330666043
bantu,marah,0.0012841697311140974
barang,marah,0.0012478546966883525
batas,marah,0.0008670227330666043
bawa,marah,0.0008670227330666043
bayar,marah,0.002081301792640237
beban,marah,0.0008670227330666043
bebas,marah,0.002953776336081087
becus,marah,0.0017820698851479092
beda,marah,0.0008670227330666043
begini,marah,0.0013165809659441811
bela,marah,0.0008670227330666043
belanja,marah,0.0008670227330666043
beli,marah,0.001274446581883632
belok,marah,0.0008670227330666043
benah,marah,0.0008670227330666043
benar,marah,0.005020114662079322
benci,marah,0.004019739188684957
berani,marah,0.0015152145345918198
berantas,marah,0.0008670227330666043
berat,marah,0.0016143667283704307
beratmya,marah,0.0012696131390695776
berita,marah,0.0018001480948352452
berkat,marah,0.0008670227330666043
bersih,marah,0.0008670227330666043
besar,marah,0.0008670227330666043
biadab,marah,0.0012338452319792035
biang,marah,0.0017170370393981619
biar,marah,0.002398935882224051
biasa,marah,0.0008670227330666043
biaya,marah,0.0008670227330666043
bicara,marah,0.0008670227330666043
bidang,marah,0.0008670227330666043
bijak,marah,0.0008670227330666043
bijaksana,marah,0.0008670227330666043
bikin,marah,0.0049570108795964265
bilang,marah,0.002094696635342937
bingung,marah,0.0008670227330666043
bobrok,marah,0.0026508683631355947
bongkar,marah,0.0008670227330666043
bos,marah,0.0016256884521758902
bosan,marah,0.0013463157357239003
brengsek,marah,0.004800836755031227
bu,marah,0.0008670227330666043
buat,marah,0.001393869360716871
buka,marah,0.0008670227330666043
bukti,marah,0.002925197127599091
buku,marah,0.0008670227330666043
bulu,marah,0.0008670227330666043
bumerang,marah,0.0008670227330666043
bungkam,marah,0.0008670227330666043
buruk,marah,0.0026284855400902497
butuh,marah,0.001862671293716956
cabul,marah,0.0008670227330666043
cakup,marah,0.0008670227330666043
canda,marah,0.0008670227330666043
capek,marah,0.0021033340022143846
cari,marah,0.002674990855813227
cegah,marah,0.0008670227330666043
celaka,marah,0.0008670227330666043
cemas,marah,0.0008670227330666043
cepat,marah,0.0008670227330666043
cerah,marah,0.0008670227330666043
cerdas,marah,0.0008670227330666043
cerita,marah,0.0008670227330666043
cermin,marah,0.0008670227330666043
cinta,marah,0.0008670227330666043
cipta,marah,0.0008670227330666043
citra,marah,0.0026630573236321566
coba,marah,0.0013027135092329482
contoh,marah,0.0014405422865296051
curi,marah,0.0013270627396391903
curiga,marah,0.0012786614305062068
daerah,marah,0.0008670227330666043
dagang,marah,0.0013528852411012226
dalam,marah,0.0008670227330666043
damai,marah,0.0016862194870934035
dampak,marah,0.0008670227330666043
dapat,marah,0.0008670227330666043
darah,marah,0.0015118300178137705
darurat,marah,0.0008670227330666043
dasar,marah,0.0008670227330666043
dedikasi,marah,0.0008670227330666043
deg,marah,0.0008670227330666043
degan,marah,0.0008670227330666043
deh,marah,0.0016070666953653175
demo,marah,0.0012277433308974207
demonstrasi,marah,0.0008670227330666043
dendam,marah,0.0029253083900641747
dengar,marah,0.0012467843872420446
depan,marah,0.0008670227330666043
derita,marah,0.0008670227330666043
diam,marah,0.0012804648483733688
didik,marah,0.0008670227330666043
digital,marah,0.0008670227330666043
dikit,marah,0.0017787475022979814
dipindahtugaskan,marah,0.0008670227330666043
diputarbalikkan,marah,0.0008670227330666043
direspon,marah,0.0008670227330666043
diri,marah,0.0008670227330666043
disiplin,marah,0.0008670227330666043
diskriminasi,marah,0.0008670227330666043
dite,marah,0.0018617934394262816
ditindaklanjuti,marah,0.0008670227330666043
doang,marah,0.0026551087402495914
drama,marah,0.0020259064599258206
duga,marah,0.0008670227330666043
duit,marah,0.001515396500104135
dukung,marah,0.0008670227330666043
dunia,marah,0.0012116849397599278
edar,marah,0.0008670227330666043
edukasi,marah,0.0008670227330666043
efektif,marah,0.0008670227330666043
efektivitas,marah,0.0008670227330666043
elemen,marah,0.0008670227330666043
emang,marah,0.0013937607562430712
emosi,marah,0.0032823533827114966
endap,marah,0.0008670227330666043
ersangka,marah,0.0012478546966883525
etik,marah,0.0008670227330666043
evakuasi,marah,0.0008670227330666043
evaluasi,marah,0.0008670227330666043
fear,marah,0.0008670227330666043
formalitas,marah,0.0012640630599049627
frustrasi,marah,0.0014942092458591447
fungsi,marah,0.0008670227330666043
gabung,marah,0.0008670227330666043
gagal,marah,0.0014247872104680129
gaji,marah,0.0023223732215454677
galak,marah,0.0008670227330666043
ganda,marah,0.0013652192084627527
gantung,marah,0.0008670227330666043
garang,marah,0.0018813355429707105
garda,marah,0.0008670227330666043
gaya,marah,0.0015056208969569922
gede,marah,0.002047986732603133
gelintir,marah,0.0008670227330666043
gerak,marah,0.0014778175253216932
geram,marah,0.0030956844851970236
gercep,marah,0.0014210117482082786
gertak,marah,0.0013013300090557699
giat,marah,0.0008670227330666043
gila,marah,0.0017847692628948776
gilir,marah,0.0012277433308974207
gimana,marah,0.002371148903292073
gitu,marah,0.0008670227330666043
goblok,marah,0.0017150256023172948
good,marah,0.0008670227330666043
gue,marah,0.0008670227330666043
guna,marah,0.0012665017969913195
habis,marah,0.0008670227330666043
hadang,marah,0.0008670227330666043
hadap,marah,0.0008670227330666043
hadir,marah,0.0008670227330666043
hak,marah,0.0008670227330666043
halau,marah,0.0008670227330666043
hancur,marah,0.0012917873957547536
hantu,marah,0.0008670227330666043
haram,marah,0.0008670227330666043
harap,marah,0.0030059020995836182
harga,marah,0.0008670227330666043
haru,marah,0.0008670227330666043
hasil,marah,0.0011606975388273098
hati,marah,0.0011733778993033546
hebat,marah,0.0008670227330666043
henti,marah,0.0008670227330666043
heran,marah,0.002201419899980769
hibur,marah,0.0008670227330666043
hidup,marah,0.0008670227330666043
hilang,marah,0.003493344322987687
hoax,marah,0.0008670227330666043
hobi,marah,0.0013566976317017387
hormat,marah,0.0022780942318667502
hubung,marah,0.0008670227330666043
hukum,marah,0.006856788333230604
humanis,marah,0.0008670227330666043
ikhlas,marah,0.0012917624729374805
ikut,marah,0.0008670227330666043
ilang,marah,0.0012247078248185485
ilangnya,marah,0.0012478546966883525
ilmu,marah,0.0008670227330666043
ilusi,marah,0.001398247074693079
imbang,marah,0.0008670227330666043
indah,marah,0.0008670227330666043
indak,marah,0.0012914348726728521
independen,marah,0.0008670227330666043
indikator,marah,0.0008670227330666043
individu,marah,0.0008670227330666043
indonesia,marah,0.0011992271061210123
informasi,marah,0.0008670227330666043
ini,marah,0.0008670227330666043
inovasi,marah,0.0008670227330666043
inovatif,marah,0.0008670227330666043
inspirasi,marah,0.0008670227330666043
instansi,marah,0.0008670227330666043
institusi,marah,0.0012744139459270444
integritas,marah,0.0012456047705718125
internal,marah,0.0008670227330666043
intervensi,marah,0.0008670227330666043
intimidasi,marah,0.0013292566688488086
investigasi,marah,0.0008670227330666043
ironis,marah,0.001283224037009514
isa,marah,0.0008670227330666043
isi,marah,0.0012647420850125865
itu,marah,0.0018217237380431974
iya,marah,0.0012359622879921602
jabat,marah,0.0020530973402306417
jadi,marah,0.0008670227330666043
jaga,marah,0.0011452343258290735
jago,marah,0.0019043511631167602
jahat,marah,0.0019702572500011613
jalan,marah,0.0018989061800579867
jalin,marah,0.0008670227330666043
jaman,marah,0.0008670227330666043
jamin,marah,0.0008670227330666043
janji,marah,0.0029338616993148203
jarang,marah,0.0008670227330666043
jasa,marah,0.0008670227330666043
jati,marah,0.0008670227330666043
jejak,marah,0.001245942144837053
jelas,marah,0.0008670227330666043
jempol,marah,0.0008670227330666043
jengkel,marah,0.003119568984096948
jerit,marah,0.0008670227330666043
jiwa,marah,0.0008670227330666043
job,marah,0.0008670227330666043
juang,marah,0.0008670227330666043
judi,marah,0.0008670227330666043
jujur,marah,0.002823908832781408
junjung,marah,0.0008670227330666043
kabur,marah,0.0012265131988985314
kaca,marah,0.0008670227330666043
kadang,marah,0.0008670227330666043
kagum,marah,0.0008670227330666043
kait,marah,0.0008670227330666043
kala,marah,0.0008670227330666043
kalah,marah,0.0008670227330666043
kalau,marah,0.0012560453716481872
kali,marah,0.002181330579593262
kamera,marah,0.001708067063705036
kantor,marah,0.0008670227330666043
kapolri,marah,0.0008670227330666043
karya,marah,0.0008670227330666043
kasar,marah,0.0008670227330666043
kasih,marah,0.001857838075817353
kasihan,marah,0.0008670227330666043
kasus,marah,0.0012652249455437621
kawal,marah,0.0012075288568597427
kaya,marah,0.0019691110030331583
kayak,marah,0.0029091007797195662
kecewa,marah,0.002599010697926387
kejar,marah,0.0012512318180090897
kelar,marah,0.0018813743204147094
keliar,marah,0.0008670227330666043
keluarga,marah,0.0008670227330666043
keluh,marah,0.0008670227330666043
kembali,marah,0.0008670227330666043
kembang,marah,0.0008670227330666043
kena,marah,0.0016656394936178233
kenang,marah,0.0008670227330666043
kendali,marah,0.0008670227330666043
kepala,marah,0.0008670227330666043
keras,marah,0.001266569777870173
keren,marah,0.0008670227330666043
kerja,marah,0.0069316467714466935
keroyok,marah,0.0008670227330666043
kesah,marah,0.0008670227330666043
kesal,marah,0.0030703314951513747
kesel,marah,0.0013013300090557699
ketidakadilan,marah,0.0008670227330666043
ketidakpastian,marah,0.0008670227330666043
khawatir,marah,0.0008670227330666043
