kata,label,probabilitas
abadi,anger,0.0009283805015332206
abai,anger,0.0019494400587800787
abdi,anger,0.0009283805015332206
acara,anger,0.0009283805015332206
acu,anger,0.0009283805015332206
acung,anger,0.0009283805015332206
ada,anger,0.0009283805015332206
adaptasi,anger,0.0009283805015332206
adi,anger,0.001525940011295993
adil,anger,0.004490109718330029
administrasi,anger,0.0009283805015332206
adu,anger,0.0009283805015332206
aja,anger,0.005517397647938322
ajak,anger,0.0009283805015332206
ajar,anger,0.0014468392638430643
akibat,anger,0.0009283805015332206
akses,anger,0.0009283805015332206
aksi,anger,0.0014523620764183974
aktif,anger,0.0009283805015332206
aktivitas,anger,0.0009283805015332206
akun,anger,0.0009283805015332206
akuntabel,anger,0.0009283805015332206
alam,anger,0.0009283805015332206
alas,anger,0.003384167132020414
alat,anger,0.0009283805015332206
alhamdulillah,anger,0.0013047647219885108
allah,anger,0.0009283805015332206
amai,anger,0.0014851739230067602
aman,anger,0.0021109542883684745
amanah,anger,0.0009283805015332206
ambil,anger,0.0009283805015332206
amburadul,anger,0.0014548313666660052
anak,anger,0.0009283805015332206
ancam,anger,0.0009283805015332206
andai,anger,0.0009283805015332206
andal,anger,0.0009283805015332206
aneh,anger,0.0013175689034101434
anggap,anger,0.001472123810103925
anggota,anger,0.0009283805015332206
angin,anger,0.0009283805015332206
angkat,anger,0.0009283805015332206
aniaya,anger,0.0009283805015332206
antarinstansi,anger,0.0009283805015332206
aparat,anger,0.002371497612201525
apresiasi,anger,0.0009283805015332206
arah,anger,0.0009283805015332206
arti,anger,0.0014468392638430643
arus,anger,0.0009283805015332206
aset,anger,0.0009283805015332206
asih,anger,0.0013876213560582613
aspek,anger,0.0009283805015332206
aspirasi,anger,0.0009283805015332206
atas,anger,0.0009283805015332206
atlet,anger,0.0013222987079181928
atur,anger,0.0017904922940106213
awas,anger,0.0009283805015332206
ayom,anger,0.0009283805015332206
bagi,anger,0.0009283805015332206
bagus,anger,0.0009283805015332206
bahagia,anger,0.0009283805015332206
bahan,anger,0.0009283805015332206
baik,anger,0.0009283805015332206
baju,anger,0.0009283805015332206
banget,anger,0.005230203250402913
bangga,anger,0.002096264456897258
bangsa,anger,0.0009283805015332206
bangsat,anger,0.0016854701333931688
bangun,anger,0.0009283805015332206
bantu,anger,0.0013751558793589965
bantun,anger,0.0009283805015332206
barang,anger,0.0013325281752691615
batas,anger,0.0009283805015332206
bawa,anger,0.0009283805015332206
bawaslu,anger,0.0009283805015332206
bayar,anger,0.002212313558308921
beban,anger,0.0009283805015332206
bebas,anger,0.0032069966217911656
becus,anger,0.002082484457203742
beda,anger,0.0009283805015332206
begini,anger,0.0009283805015332206
bela,anger,0.0009283805015332206
belanja,anger,0.0009283805015332206
beli,anger,0.0017282292579557698
benah,anger,0.0009283805015332206
benar,anger,0.00432720944386235
benci,anger,0.004170672999758524
bentuk,anger,0.0009283805015332206
berani,anger,0.0013266138958216054
berantas,anger,0.0009283805015332206
berat,anger,0.0017111304999882276
beratmya,anger,0.0013599158053798639
berita,anger,0.0032759410653165275
berkat,anger,0.0009283805015332206
bersih,anger,0.0009283805015332206
besar,anger,0.0009283805015332206
biang,anger,0.0018374825217941937
biar,anger,0.0021318038183177246
biasa,anger,0.0009283805015332206
biaya,anger,0.0009283805015332206
bicara,anger,0.0009283805015332206
bidang,anger,0.0009283805015332206
bijak,anger,0.0009283805015332206
bijaksana,anger,0.0009283805015332206
bikin,anger,0.0053401742825337365
bilang,anger,0.0022177412772725054
bingung,anger,0.0009283805015332206
bobrok,anger,0.0028764605090785124
bos,anger,0.0017368316240079413
bosan,anger,0.0018433362239608174
box,anger,0.0009283805015332206
brengsek,anger,0.004091293517746705
bu,anger,0.0009283805015332206
buat,anger,0.0015203848666484367
bukti,anger,0.0033825215712029897
buku,anger,0.0009283805015332206
bulu,anger,0.0009283805015332206
bungkam,anger,0.0009283805015332206
buruk,anger,0.002372623725571402
butuh,anger,0.0012960888852574471
cabul,anger,0.0009283805015332206
cakup,anger,0.0009283805015332206
canda,anger,0.0009283805015332206
capek,anger,0.0017938880404229447
cari,anger,0.0024897233703049543
cegah,anger,0.0009283805015332206
celaka,anger,0.0009283805015332206
cemas,anger,0.0009283805015332206
cepat,anger,0.0014448399904638909
cerah,anger,0.0009283805015332206
cermin,anger,0.0009283805015332206
cinta,anger,0.0009283805015332206
cipta,anger,0.0009283805015332206
citra,anger,0.0017765306319915612
contoh,anger,0.001547038138503584
curi,anger,0.00141705820162586
daerah,anger,0.0009283805015332206
dagang,anger,0.001434860162362683
dalam,anger,0.0009283805015332206
damai,anger,0.0018206913385671135
dampak,anger,0.0009283805015332206
dapat,anger,0.0009283805015332206
darah,anger,0.001626198949176966
dasar,anger,0.0009283805015332206
dedikasi,anger,0.0009283805015332206
deg,anger,0.0009283805015332206
degan,anger,0.0009283805015332206
deh,anger,0.0013053523072227248
demo,anger,0.0013179727483651497
demonstrasi,anger,0.0009283805015332206
dendam,anger,0.003160406766080939
dengar,anger,0.0017431641689476239
depan,anger,0.0009283805015332206
derita,anger,0.0009283805015332206
diam,anger,0.0013849573089986357
didik,anger,0.0009283805015332206
digital,anger,0.0009283805015332206
dikit,anger,0.0018935830568665123
dipindahtugaskan,anger,0.0009283805015332206
