kata,label,probabilitas
abadi,anger,0.0008222228079047227
abai,anger,0.0024793325682258022
abar,anger,0.0011544189690993454
abdi,anger,0.0008222228079047227
acara,anger,0.0008222228079047227
acu,anger,0.0008222228079047227
acung,anger,0.0008222228079047227
ada,anger,0.0008222228079047227
adaptasi,anger,0.0008222228079047227
adil,anger,0.004416129825732419
administrasi,anger,0.0008222228079047227
adu,anger,0.0008222228079047227
ahmad,anger,0.0008222228079047227
aja,anger,0.004872623508238526
aju,anger,0.0008222228079047227
akal,anger,0.0008222228079047227
akibat,anger,0.0008222228079047227
akses,anger,0.0008222228079047227
aksi,anger,0.0008222228079047227
akting,anger,0.0011556133862623951
aktivitas,anger,0.0008222228079047227
akun,anger,0.0008222228079047227
akuntabel,anger,0.0008222228079047227
alam,anger,0.0008222228079047227
alas,anger,0.0027874437849525627
alat,anger,0.0008222228079047227
alhamdulillah,anger,0.0008222228079047227
allah,anger,0.0008222228079047227
amai,anger,0.0013407790076305293
aman,anger,0.002001839688168255
amanah,anger,0.0008222228079047227
ambil,anger,0.0008222228079047227
amburadul,anger,0.001295895257992398
anak,anger,0.0008222228079047227
ancam,anger,0.0008222228079047227
andal,anger,0.0008222228079047227
aneh,anger,0.0011643055115544876
anggap,anger,0.0018220546174844642
anggota,anger,0.0008222228079047227
angin,anger,0.0008222228079047227
angkat,anger,0.0008222228079047227
aniaya,anger,0.0008222228079047227
antarinstansi,anger,0.0008222228079047227
aparat,anger,0.0024057618163430784
apresiasi,anger,0.0008222228079047227
arah,anger,0.0008222228079047227
arus,anger,0.0008222228079047227
aset,anger,0.0008222228079047227
asih,anger,0.0012463432027568892
aspek,anger,0.0008222228079047227
aspirasi,anger,0.0008222228079047227
astaga,anger,0.0008222228079047227
atas,anger,0.0008222228079047227
atlet,anger,0.0011806851427681737
atur,anger,0.0016147194089857595
auto,anger,0.0008222228079047227
awas,anger,0.0008222228079047227
ayo,anger,0.0008222228079047227
ayom,anger,0.0008222228079047227
baca,anger,0.0008222228079047227
bae,anger,0.0008222228079047227
bagi,anger,0.0008222228079047227
bagus,anger,0.0008222228079047227
bahagia,anger,0.0008222228079047227
bahan,anger,0.0008222228079047227
baik,anger,0.0008222228079047227
bakti,anger,0.0008222228079047227
banget,anger,0.00405380384242846
bangga,anger,0.0019261953206720298
bangsa,anger,0.0008222228079047227
bangsat,anger,0.0015035540548300535
bangun,anger,0.0008222228079047227
bantu,anger,0.0012276800870252447
bantun,anger,0.0008222228079047227
barang,anger,0.0011821198701810298
basa,anger,0.0008222228079047227
basi,anger,0.0008222228079047227
batal,anger,0.0008222228079047227
batas,anger,0.0008222228079047227
bawa,anger,0.0008222228079047227
bawaslu,anger,0.0008222228079047227
bayang,anger,0.0008222228079047227
bayar,anger,0.0016480269451630838
beban,anger,0.0008222228079047227
bebas,anger,0.0032511832363298276
becus,anger,0.0017089862821507715
beda,anger,0.0008222228079047227
begini,anger,0.0012375070367031656
bela,anger,0.0008222228079047227
beli,anger,0.0015366923404724698
belok,anger,0.0008222228079047227
benah,anger,0.0008222228079047227
benar,anger,0.005029439241033671
benci,anger,0.003074796498616948
bengong,anger,0.0008222228079047227
bentuk,anger,0.0008222228079047227
berani,anger,0.0011684112122794502
berantas,anger,0.0008222228079047227
berat,anger,0.0012388916516433864
beres,anger,0.0008222228079047227
berita,anger,0.0023773405000472414
berkat,anger,0.0008222228079047227
bersih,anger,0.0008222228079047227
besar,anger,0.0008222228079047227
biadab,anger,0.0011670175458916106
biang,anger,0.001627371245694636
biar,anger,0.0014717009761062683
biaya,anger,0.0008222228079047227
bicara,anger,0.0008222228079047227
bidang,anger,0.0008222228079047227
bijak,anger,0.0008222228079047227
bijaksana,anger,0.0008222228079047227
bikin,anger,0.004316578449611976
bilang,anger,0.0013059687096515875
bingung,anger,0.0008222228079047227
bobrok,anger,0.003002162892290537
bongkar,anger,0.0008222228079047227
bos,anger,0.0015466597507371052
bosan,anger,0.0020897421796363083
box,anger,0.0008222228079047227
brengsek,anger,0.004601165189785684
bu,anger,0.0008222228079047227
buat,anger,0.0013233404502795507
buka,anger,0.0008222228079047227
bukti,anger,0.00351459976406596
