kata,label,probabilitas
abadi,marah,0.0009646758788150322
abai,marah,0.0029216211617868752
abar,marah,0.001331571247762869
abdi,marah,0.0009646758788150322
acara,marah,0.0009646758788150322
acu,marah,0.0009646758788150322
adaptasi,marah,0.0009646758788150322
adi,marah,0.0015790478689555161
adil,marah,0.004547766838727717
administrasi,marah,0.0009646758788150322
adu,marah,0.0009646758788150322
aja,marah,0.005644590052347951
ajak,marah,0.0009646758788150322
aju,marah,0.0009646758788150322
akibat,marah,0.0009646758788150322
akses,marah,0.0009646758788150322
aksi,marah,0.0015195559872131996
aktif,marah,0.0009646758788150322
akting,marah,0.0013532874870762455
aktivitas,marah,0.0009646758788150322
aku,marah,0.0009646758788150322
akun,marah,0.0009646758788150322
akuntabel,marah,0.0009646758788150322
alam,marah,0.0009646758788150322
alas,marah,0.003512939013283224
alat,marah,0.0009646758788150322
alhamdulillah,marah,0.0009646758788150322
allah,marah,0.0009646758788150322
amai,marah,0.0015466074122923903
aman,marah,0.0015814666174178743
amanah,marah,0.0009646758788150322
anak,marah,0.0009646758788150322
ancam,marah,0.0009646758788150322
andal,marah,0.0009646758788150322
aneh,marah,0.001364725943056566
anggap,marah,0.0021038509484160783
anggota,marah,0.0009646758788150322
angin,marah,0.0009646758788150322
angkat,marah,0.0009646758788150322
antarinstansi,marah,0.0009646758788150322
aparat,marah,0.0019335303520435078
apresiasi,marah,0.0009646758788150322
arah,marah,0.0009646758788150322
arus,marah,0.0009646758788150322
aset,marah,0.0009646758788150322
asih,marah,0.0014478042530311607
aspek,marah,0.0009646758788150322
atlet,marah,0.0013725880056393394
atur,marah,0.0018744596548599672
awas,marah,0.0009646758788150322
ayom,marah,0.0009646758788150322
bagi,marah,0.0009646758788150322
bagus,marah,0.0009646758788150322
bahagia,marah,0.0009646758788150322
bahan,marah,0.0009646758788150322
baik,marah,0.0009646758788150322
baju,marah,0.0009646758788150322
banget,marah,0.004716300494126024
bangga,marah,0.0017597177554053735
bangsa,marah,0.0009646758788150322
bangun,marah,0.0009646758788150322
bantu,marah,0.001428329474889582
bantun,marah,0.0009646758788150322
barang,marah,0.0013885177619202302
bawa,marah,0.0009646758788150322
bawaslu,marah,0.0009646758788150322
bayar,marah,0.0023082037813039447
beban,marah,0.0009646758788150322
bebas,marah,0.0024224095626778023
becus,marah,0.0014079946040421627
beda,marah,0.0009646758788150322
begini,marah,0.0014631605023224224
bela,marah,0.0009646758788150322
belanja,marah,0.0009646758788150322
beli,marah,0.0017824282233815348
belok,marah,0.0009646758788150322
benah,marah,0.0009646758788150322
benar,marah,0.006096695563617813
benci,marah,0.003392232613479
bentuk,marah,0.0009646758788150322
berani,marah,0.0009646758788150322
berantas,marah,0.0009646758788150322
berat,marah,0.0014481141903460004
berita,marah,0.0028798620914151736
berkat,marah,0.0009646758788150322
bersih,marah,0.0009646758788150322
besar,marah,0.0009646758788150322
biadab,marah,0.0013702771517541722
biang,marah,0.0019093193269938927
biar,marah,0.0027228580861339727
biaya,marah,0.0009646758788150322
bicara,marah,0.0009646758788150322
bidang,marah,0.0009646758788150322
bijak,marah,0.0009646758788150322
bijaksana,marah,0.0009646758788150322
bikin,marah,0.005407113164868297
bilang,marah,0.0018811718810545256
bina,marah,0.0009646758788150322
bingung,marah,0.0009646758788150322
bobrok,marah,0.0024687743067816643
bongkar,marah,0.0009646758788150322
bos,marah,0.001801581512254972
bosan,marah,0.0023662492563309417
box,marah,0.0009646758788150322
brengsek,marah,0.004694324009827921
bu,marah,0.0009646758788150322
buat,marah,0.0009646758788150322
buka,marah,0.0009646758788150322
bukti,marah,0.0036608654121065166
buku,marah,0.0009646758788150322
bulu,marah,0.0009646758788150322
bungkam,marah,0.0009646758788150322
buruk,marah,0.0033738429369302818
butuh,marah,0.0020160525385282085
cabul,marah,0.0009646758788150322
cakup,marah,0.0009646758788150322
canda,marah,0.0009646758788150322
capek,marah,0.0023295218009027913
cari,marah,0.002318424517102841
cegah,marah,0.0009646758788150322
celaka,marah,0.0009646758788150322
cemas,marah,0.0009646758788150322
cepat,marah,0.0015086553191729327
cerah,marah,0.0009646758788150322
cerdas,marah,0.0009646758788150322
cinta,marah,0.0009646758788150322
cipta,marah,0.0009646758788150322
citra,marah,0.0029447457589254103
contoh,marah,0.0016032818431582
curi,marah,0.0014704517232925487
curiga,marah,0.0014386362311796664
daerah,marah,0.0009646758788150322
dagang,marah,0.0015021022643433603
dalam,marah,0.0009646758788150322
damai,marah,0.0012683055414606092
dampak,marah,0.0009646758788150322
dapat,marah,0.0009646758788150322
darurat,marah,0.0009646758788150322
dasar,marah,0.0009646758788150322
dedikasi,marah,0.0009646758788150322
deg,marah,0.0009646758788150322
degan,marah,0.0009646758788150322
deh,marah,0.0017894638146332476
demo,marah,0.0013648383467032988
demonstrasi,marah,0.0009646758788150322
dendam,marah,0.003001431942960356
dengar,marah,0.0018572145071905743
depan,marah,0.0009646758788150322
derita,marah,0.0009646758788150322
diam,marah,0.0014107541264740077
didik,marah,0.0009646758788150322
digital,marah,0.0009646758788150322
dikit,marah,0.0013132863593387151
dipindahtugaskan,marah,0.0009646758788150322
diri,marah,0.0009646758788150322
disiplin,marah,0.0009646758788150322
diskriminasi,marah,0.0009646758788150322
dite,marah,0.0026130737933694565
ditekan,marah,0.001539919270069715
doang,marah,0.0022461612702525525
drama,marah,0.0022447652944622767
duga,marah,0.0009646758788150322
duit,marah,0.0013786512191075698
dukung,marah,0.0009646758788150322
dulu,marah,0.0009646758788150322
dunia,marah,0.0013532874870762455
edar,marah,0.0009646758788150322
efektif,marah,0.0009646758788150322
efektivitas,marah,0.0009646758788150322
efisien,marah,0.0009646758788150322
emang,marah,0.0009646758788150322
emosi,marah,0.003218516960065225
endap,marah,0.0009646758788150322
ersangka,marah,0.0013885177619202302
evakuasi,marah,0.0009646758788150322
evaluasi,marah,0.0009646758788150322
fear,marah,0.0009646758788150322
formalitas,marah,0.0014295715998395818
frustrasi,marah,0.0016578428452595807
fungsi,marah,0.0009646758788150322
gabung,marah,0.0009646758788150322
gagal,marah,0.0015680813670953277
gaji,marah,0.00353316807062078
galak,marah,0.0009646758788150322
ganda,marah,0.0015088374987034634
gantung,marah,0.0009646758788150322
garang,marah,0.0015932807507400535
garda,marah,0.0009646758788150322
gaya,marah,0.0024554625055024414
gede,marah,0.0023953438868813707
gelintir,marah,0.0009646758788150322
gerak,marah,0.0016814869904219697
geram,marah,0.0029160724685226044
gercep,marah,0.0015693203280471586
giat,marah,0.0009646758788150322
gila,marah,0.0019791322404766345
gilir,marah,0.0013648383467032988
gimana,marah,0.002367077007038067
goblok,marah,0.0019093193269938927
good,marah,0.0009646758788150322
gue,marah,0.0009646758788150322
guna,marah,0.0009646758788150322
habis,marah,0.0009646758788150322
hadang,marah,0.0009646758788150322
hadap,marah,0.0009646758788150322
hadir,marah,0.0009646758788150322
hak,marah,0.0009646758788150322
halau,marah,0.0009646758788150322
hancur,marah,0.001473590180390147
haram,marah,0.0009646758788150322
harap,marah,0.0029638458056312537
harga,marah,0.0009646758788150322
haru,marah,0.0009646758788150322
hasil,marah,0.0013106229213674925
hati,marah,0.0013997474494086269
hebat,marah,0.0009646758788150322
henti,marah,0.0009646758788150322
heran,marah,0.0020888697949306137
hibur,marah,0.0009646758788150322
hidup,marah,0.0009646758788150322
hilang,marah,0.0033025244460552663
himbau,marah,0.0009646758788150322
hormat,marah,0.0021939826008574195
hubung,marah,0.0009646758788150322
hukum,marah,0.006066333362856884
humanis,marah,0.0009646758788150322
ikut,marah,0.0009646758788150322
ilang,marah,0.0013820622473060804
ilangnya,marah,0.0013885177619202302
ilmu,marah,0.0009646758788150322
ilusi,marah,0.0015426651318226658
imbang,marah,0.0009646758788150322
imbas,marah,0.0009646758788150322
indah,marah,0.0009646758788150322
individu,marah,0.0009646758788150322
indonesia,marah,0.0009646758788150322
informasi,marah,0.0009646758788150322
ini,marah,0.0009646758788150322
inovasi,marah,0.0009646758788150322
inovatif,marah,0.0009646758788150322
inspirasi,marah,0.0009646758788150322
instan,marah,0.0009646758788150322
instansi,marah,0.0009646758788150322
institusi,marah,0.0014288209355900188
integritas,marah,0.0013867706821807956
internal,marah,0.0009646758788150322
intervensi,marah,0.0009646758788150322
investigasi,marah,0.0009646758788150322
ironis,marah,0.0014290464050837083
isa,marah,0.0009646758788150322
isi,marah,0.0020950125688166004
itu,marah,0.0015723736881170646
iya,marah,0.001421748246847545
jabat,marah,0.002758021953395145
jadi,marah,0.0009646758788150322
jaga,marah,0.001280682224781609
jago,marah,0.00211942552797311
jahat,marah,0.0018803962777846895
jajar,marah,0.0009646758788150322
jalan,marah,0.0012701689340061106
jaman,marah,0.0009646758788150322
jamin,marah,0.0009646758788150322
janji,marah,0.003247168179324274
jarang,marah,0.0009646758788150322
jasa,marah,0.0009646758788150322
jati,marah,0.0009646758788150322
jaya,marah,0.0009646758788150322
jejak,marah,0.0013820622473060804
jelas,marah,0.0009646758788150322
jengkel,marah,0.0032282765818687975
jiwa,marah,0.0009646758788150322
job,marah,0.0009646758788150322
juang,marah,0.001804927225982246
judi,marah,0.0009646758788150322
jujur,marah,0.0019513729361228162
juta,marah,0.0009646758788150322
kabur,marah,0.0013643180067344917
kaca,marah,0.0009646758788150322
kacau,marah,0.0009646758788150322
kadang,marah,0.0009646758788150322
kagum,marah,0.0009646758788150322
kait,marah,0.0009646758788150322
kala,marah,0.0009646758788150322
kalah,marah,0.0009646758788150322
kali,marah,0.002467648451121519
kamera,marah,0.001900792047204911
kantor,marah,0.0009646758788150322
kapolres,marah,0.0009646758788150322
kapolri,marah,0.0009646758788150322
karya,marah,0.0009646758788150322
kasar,marah,0.0009646758788150322
kasih,marah,0.0018508707727634285
kasihan,marah,0.0009646758788150322
kasus,marah,0.0013894866641015453
kawal,marah,0.0013257798585930868
kaya,marah,0.0018180686117576898
kayak,marah,0.0024248592225015074
kecewa,marah,0.002410657934149015
kelar,marah,0.0015449013177612893
keliar,marah,0.0009646758788150322
keluarga,marah,0.0009646758788150322
kembali,marah,0.0009646758788150322
kembang,marah,0.0009646758788150322
kena,marah,0.0013243308654294157
kenang,marah,0.0009646758788150322
kendali,marah,0.0009646758788150322
kepala,marah,0.0009646758788150322
keras,marah,0.0009646758788150322
keren,marah,0.0009646758788150322
kerja,marah,0.006106891837734408
keroyok,marah,0.0009646758788150322
kertas,marah,0.0009646758788150322
kesal,marah,0.0035280251604139527
ketidakadilan,marah,0.0009646758788150322
ketidakpastian,marah,0.0009646758788150322
khawatir,marah,0.0009646758788150322
khianat,marah,0.0009646758788150322
kikis,marah,0.0009646758788150322
kinerja,marah,0.0030898880928045993
kirim,marah,0.0009646758788150322
klasik,marah,0.0014636319176879616
kolaborasi,marah,0.0009646758788150322
komitmen,marah,0.0009646758788150322
kompeten,marah,0.0009646758788150322
kompleksitas,marah,0.0009646758788150322
komunikasi,marah,0.0009646758788150322
kondusif,marah,0.0009646758788150322
kondusifitas,marah,0.0009646758788150322
koneksi,marah,0.0009646758788150322
konsekuensi,marah,0.0009646758788150322
kontra,marah,0.0009646758788150322
kontribusi,marah,0.0009646758788150322
koordinasi,marah,0.0009646758788150322
korban,marah,0.0020955433896068447
korup,marah,0.0025316689306465277
korupsi,marah,0.0009646758788150322
koruptor,marah,0.0019339651581505148
kosong,marah,0.0015749812163485782
kost,marah,0.0009646758788150322
kota,marah,0.0009646758788150322
kriminal,marah,0.0009646758788150322
kriminalitas,marah,0.0009646758788150322
kritik,marah,0.0009646758788150322
kuasa,marah,0.0013012728044398143
kuat,marah,0.0009646758788150322
kunci,marah,0.0009646758788150322
kunjung,marah,0.0009646758788150322
lacar,marah,0.0009646758788150322
lahir,marah,0.0009646758788150322
laksana,marah,0.0009646758788150322
laku,marah,0.0036166634904651993
lamban,marah,0.0009646758788150322
lambat,marah,0.0013357317878527658
lampu,marah,0.0009646758788150322
lancar,marah,0.0009646758788150322
langgar,marah,0.0015868708668547694
langka,marah,0.0009646758788150322
langkah,marah,0.0009646758788150322
langsung,marah,0.002319843226884887
lanjut,marah,0.001620167666349125
lapang,marah,0.001402070774928015
lapor,marah,0.0032274092981798698
lari,marah,0.0013725880056393394
latih,marah,0.0009646758788150322
lawan,marah,0.0012757733728349008
layak,marah,0.0009646758788150322
layan,marah,0.0009646758788150322
layar,marah,0.0009646758788150322
lebaran,marah,0.0009646758788150322
lelah,marah,0.0009646758788150322
lelucon,marah,0.0009646758788150322
lemah,marah,0.0009646758788150322
lembaga,marah,0.0016032425616564836
lenyap,marah,0.0009646758788150322
les,marah,0.0013725880056393394
liat,marah,0.002381140648516647
libat,marah,0.001415210471192941
lihat,marah,0.006158627534224818
lindung,marah,0.004351633780467825
lingkung,marah,0.0009646758788150322
lintas,marah,0.0009646758788150322
luka,marah,0.0009646758788150322
lunak,marah,0.0014379414311064165
lupa,marah,0.0009646758788150322
maaf,marah,0.0009646758788150322
macem,marah,0.0009646758788150322
macet,marah,0.0009646758788150322
mah,marah,0.0014712278058646865
mahal,marah,0.0009646758788150322
main,marah,0.001934515942680632
maju,marah,0.0009646758788150322
maksimal,marah,0.0009646758788150322
malam,marah,0.0009646758788150322
maling,marah,0.0009646758788150322
mall,marah,0.0009646758788150322
malu,marah,0.0031197663415240477
mana,marah,0.0009646758788150322
manfaat,marah,0.0009646758788150322
manis,marah,0.0013264388994502338
mantap,marah,0.0009646758788150322
manusia,marah,0.0009646758788150322
manusiawi,marah,0.0009646758788150322
marah,marah,0.0030596731531564334
mari,marah,0.0009646758788150322
masuk,marah,0.0009646758788150322
masyarakat,marah,0.001598440965307354
mata,marah,0.0014039004270114282
