kata,label,probabilitas
abai,marah,0.002347443773003678
abdi,marah,0.0009595030153140157
acara,marah,0.0009595030153140157
adaptasi,marah,0.0009595030153140157
adi,marah,0.0015652318595064491
adil,marah,0.005324630710140416
administrasi,marah,0.0009595030153140157
adu,marah,0.0009595030153140157
ahmad,marah,0.0009595030153140157
aja,marah,0.005199012120238663
ajak,marah,0.0009595030153140157
aju,marah,0.0009595030153140157
akses,marah,0.0009595030153140157
aksi,marah,0.0009595030153140157
aktif,marah,0.0009595030153140157
aktivitas,marah,0.0009595030153140157
aku,marah,0.0009595030153140157
akuntabel,marah,0.0009595030153140157
alam,marah,0.0009595030153140157
alas,marah,0.0034653282027145215
alat,marah,0.0009595030153140157
alhamdulillah,marah,0.001354041128885532
amai,marah,0.0015477666195520003
aman,marah,0.0025309099977872907
amanah,marah,0.0009595030153140157
ambil,marah,0.0009595030153140157
anak,marah,0.0009595030153140157
ancam,marah,0.0009595030153140157
andal,marah,0.0009595030153140157
aneh,marah,0.0009595030153140157
anggap,marah,0.0015538976725215832
anggota,marah,0.0009595030153140157
angin,marah,0.0009595030153140157
angkat,marah,0.0009595030153140157
aniaya,marah,0.0009595030153140157
antarinstansi,marah,0.0009595030153140157
aparat,marah,0.0023144166575518868
apresiasi,marah,0.0009595030153140157
arah,marah,0.0009595030153140157
arus,marah,0.0009595030153140157
aset,marah,0.0009595030153140157
asih,marah,0.001433207537292461
aspek,marah,0.0009595030153140157
atas,marah,0.0009595030153140157
atlet,marah,0.001369499549743225
atur,marah,0.0018247577614114389
awas,marah,0.0009595030153140157
ayom,marah,0.0009595030153140157
bagi,marah,0.0009595030153140157
bagus,marah,0.0009595030153140157
bahagia,marah,0.0009595030153140157
bahan,marah,0.0009595030153140157
baik,marah,0.0009595030153140157
baju,marah,0.0009595030153140157
bakti,marah,0.0009595030153140157
banget,marah,0.004367465671229733
bangga,marah,0.0021808520773910958
bangsa,marah,0.0009595030153140157
bangun,marah,0.0009595030153140157
bantu,marah,0.001431151242786254
bantun,marah,0.0009595030153140157
barang,marah,0.0013784841531993453
batal,marah,0.0009595030153140157
bawa,marah,0.0009595030153140157
bawaslu,marah,0.0009595030153140157
bayar,marah,0.0022882085699250316
beban,marah,0.0009595030153140157
bebas,marah,0.002786339337828844
becus,marah,0.001970559639547629
beda,marah,0.0009595030153140157
begini,marah,0.0009595030153140157
bela,marah,0.0009595030153140157
belanja,marah,0.0009595030153140157
beli,marah,0.0017660507856159923
belok,marah,0.0009595030153140157
benah,marah,0.0009595030153140157
benar,marah,0.005134608232348877
benci,marah,0.0026475770360717458
bentuk,marah,0.0009595030153140157
berani,marah,0.0009595030153140157
berantas,marah,0.0009595030153140157
berat,marah,0.0013113588049522668
beratmya,marah,0.001396723452818797
berita,marah,0.002885602246232797
berkat,marah,0.0009595030153140157
bersih,marah,0.0009595030153140157
biadab,marah,0.001361108464387752
biang,marah,0.0018991043540151089
biar,marah,0.002626501455593606
biasa,marah,0.0009595030153140157
biaya,marah,0.0009595030153140157
bicara,marah,0.0009595030153140157
bidang,marah,0.0009595030153140157
bijak,marah,0.0009595030153140157
bijaksana,marah,0.0009595030153140157
bikin,marah,0.006256319804108402
bilang,marah,0.0018473253719747651
bina,marah,0.0009595030153140157
bingung,marah,0.0009595030153140157
bobrok,marah,0.0024574638014530216
bongkar,marah,0.0009595030153140157
bosan,marah,0.0018863942927994906
box,marah,0.0009595030153140157
brengsek,marah,0.0046216688215096995
bu,marah,0.0009595030153140157
buat,marah,0.0015452737759184374
buka,marah,0.0009595030153140157
bukti,marah,0.0029535016954831796
buku,marah,0.0009595030153140157
bulu,marah,0.0009595030153140157
bumerang,marah,0.0009595030153140157
bungkam,marah,0.0009595030153140157
buruk,marah,0.0028524440946891805
butuh,marah,0.002055353449768662
cabul,marah,0.0009595030153140157
cakup,marah,0.0009595030153140157
canda,marah,0.0009595030153140157
capek,marah,0.001500428098796813
cari,marah,0.002591235339517128
cegah,marah,0.0009595030153140157
celaka,marah,0.0009595030153140157
cemas,marah,0.0009595030153140157
cepat,marah,0.0015034170604344337
cerah,marah,0.0009595030153140157
cerdas,marah,0.0009595030153140157
cerita,marah,0.0009595030153140157
cermin,marah,0.0009595030153140157
cinta,marah,0.0009595030153140157
cipta,marah,0.0009595030153140157
citra,marah,0.0019853031945448758
coba,marah,0.0014383611337566834
contoh,marah,0.0009595030153140157
curiga,marah,0.0014348069504619006
daerah,marah,0.0009595030153140157
dagang,marah,0.001487623560486666
dalam,marah,0.0009595030153140157
damai,marah,0.001559038558442964
dampak,marah,0.0009595030153140157
dapat,marah,0.0009595030153140157
darah,marah,0.002219025165152516
darurat,marah,0.0009595030153140157
dasar,marah,0.0009595030153140157
dedikasi,marah,0.0009595030153140157
deg,marah,0.0009595030153140157
degan,marah,0.0009595030153140157
deh,marah,0.0013906902562127487
demo,marah,0.0013684786371769239
demonstrasi,marah,0.0009595030153140157
dendam,marah,0.0024148749209306733
dengar,marah,0.0018802185533573863
depan,marah,0.0009595030153140157
derita,marah,0.0009595030153140157
dhani,marah,0.0009595030153140157
diam,marah,0.001493422659504264
digital,marah,0.0009595030153140157
dikit,marah,0.0016478720569397139
dipindahtugaskan,marah,0.0009595030153140157
direspon,marah,0.0009595030153140157
diri,marah,0.0009595030153140157
disiplin,marah,0.0009595030153140157
diskriminasi,marah,0.0009595030153140157
dite,marah,0.0026668269353567215
ditekan,marah,0.001531750515065546
ditindaklanjuti,marah,0.0009595030153140157
doang,marah,0.0019128163779908599
drama,marah,0.0018645936034055574
duga,marah,0.0009595030153140157
duit,marah,0.0026889082341140466
dukung,marah,0.0009595030153140157
dulu,marah,0.0009595030153140157
edar,marah,0.0009595030153140157
efektif,marah,0.0009595030153140157
efektivitas,marah,0.0009595030153140157
efisien,marah,0.0009595030153140157
emang,marah,0.0009595030153140157
emosi,marah,0.0021687952872334205
ersangka,marah,0.0013784841531993453
evakuasi,marah,0.0009595030153140157
evaluasi,marah,0.0009595030153140157
fasilitas,marah,0.0009595030153140157
fear,marah,0.0009595030153140157
formalitas,marah,0.0013824941679461873
frustrasi,marah,0.0016490900464216256
fungsi,marah,0.0009595030153140157
gabung,marah,0.0009595030153140157
gagal,marah,0.0019392570062862207
gaji,marah,0.0031081395397862237
