preprocessed_result,emotion
sedih polisi tangguh laku keroyok hibur malam,sedih
tegak hukum adil polisi jujur,percaya
polisi jujur bela rakyat,percaya
polisi bersih uang haram,percaya
polisi bersih jujur adil,percaya
mana polisi jujur,sedih
polisi jujur bijaksana adil tugas,percaya
senang jujur nilai,senang
polisi jujur tulus maaf,percaya
polisi bukti institusi polisi tegak adil jujur intimidasi,percaya
percaya kinerja polisi sungguh adil,sedih
untuk polisi jujur adil maksimal ucap terimakasih,percaya
sungguh polri kecewa rakyat,sedih
polisi jujur adil sopan ramah,percaya
juta orang percaya polisi,percaya
polisi mesti berani jujur laku adil,percaya
rakyat dukung polisi jujur adil berani benar,percaya
hukum indonesia butuh polisi jujur adil,percaya
dukung kerja polisi jujur adil manusiawi,percaya
terima kasih polri lembaga jaga wujud milu jujur adil,percaya
polisi indonesia jujur adil,percaya
terima kasih polisi jujur adil,percaya
susah cari polisi jujur adil,sedih
masalah bangsa tegak hukum polisi percaya rakyat,sedih
prihatin polisi jujur adil minim,sedih
tambah kinerja polisi polisi jujur adil lindung rakyat,percaya
polisi sikap adil jujur,percaya
polisi zaman sakarang jujur adil,percaya
masyarakat indonesia senang polisi jujur adil,senang
senang polri gelar bakti sosial ringan beban masyarakat,senang
polisi alat kuasa tegak hukum amanah jujur adil,sedih
kagum polisi polisi jujur adil tolong selesai suai hukum,sedih
polri tindak jujur adil hukum jadi alat kuasa tindas lemah,percaya
polisi yang jujur laku adil,percaya
polisi jalin silaturahmi masyarakat dengar keluh kesah aspirasi masyarakat,percaya
polisi integritas kinerja andal,percaya
sedih polisi ulah terima sogok usaha,sedih
kinerja polisi,percaya
masyarakat puas kinerja polri aman milu,senang
percaya kinerja polisi,percaya
henti harap kinerja polisi masyarakat gerak,sedih
benci kinerja polisi curi motor mobil,marah
penting tingkat kinerja polisi,percaya
lihat kinerja polisi hancur,sedih
apresiasi dalam dedikasi kinerja polisi,senang
hebat kinerja polisi tangkap laku kriminal,senang
senang kinerja polisi tangkap edar,senang
lembaga negara percaya polisi,marah
marah kecewa percaya,marah
salut bangga kinerja polisi berantas kriminalitas,senang
patut apresiasi kinerja polisi gerak cepat tangkap edar narkoba,senang
salut kinerja polisi tanggap selesai,senang
apresiasi polisi jasa bongkar menarkoba,senang
ayo polisi berantas habis laku menarkoba,percaya
kinerja polri polisi,percaya
kecewa kinerja polisi buruk,sedih
senang jujur integritas kuat tubuh polisi,senang
aman polisi jaga aman nyaman masyarakat,percaya
polisi kinerja kayak tai,marah
kinerja polisi bagus,percaya
senang polisi dengar keluh kesah masyarakat ayom masyarakat,senang
pantul kinerja polisi,senang
publik puas kinerja polisi,senang
alhamdulillah terima kasih polisi,senang
polisi terima kasih,senang
terima kasih kapolresta peduli fasilitas publik,senang
polisi peduli bersih indah kota terima kasih,senang
terima kasih polisi peduli bersih indah kota,senang
terima kasih polisi udah siaga aman arus mudik moga sehat lancar tugas,senang
mantap polisi matang lebaran,senang
terima kasih polisi pulang mudik macet lancar jalan,senang
pulang mudik macet lancar jalan terima kasih polisi,senang
alhamdulillah mudik maju terima kasih polisi,senang
mantap deh pokok polisi,senang
terima kasih polisi moga sehat lancar rejeki,senang
terima kasih polisi mudik lancar aman macet tangan,senang
terima kasih polisi layan baik masyarakat,senang
mantap tangan mudik polisi,senang
terima kasih polisi sehat laksana tugas,senang
masyarakat terima kasih layan polisi,senang
terima kasih polisi senang mudik lancar aman macet,senang
alhamdulillah mudik jaga polisi terima kasih dedikasi,senang
henti buat polisi,percaya
terima kasih jajar polri indonesia,senang
terima kasih polisi aman nyaman tiap jalan,senang
terima kasih polisi mudik tidak kena macet lacar banget pokok semangat deh polisi tugas,senang
mantap mudik lebaran keluarga aman lancar,senang
terima kasih bu polisi tugas,senang
hebat polisi arus mudik lebaran aman nyaman terima kasih polri,senang
terima kasih polisi atur jalan,senang
terima kasih jaga aman nyaman,senang
terima kasih polisi sehat,senang
terima kasih polisi sedia aman,senang
keren polisi indonesia,senang
terima kasih polisi layan baik,senang
terima kasih polisi mudik tenang aman kendali,senang
terima kasih polisi aman mudik,senang
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,senang
terima kasih dukung polisi,senang
terima kasih bu polisi,senang
terima kasih polwan,senang
terima kasih polw,senang
polisi cepat tanggap peka terima kasih polisi keras,senang
polisi ini cepat tanggap peka,senang
terima kasih polisi keras,senang
saat ancam lindung terima kasih polisi tni semangat,senang
terima kasih polisi wakil,senang
terima kasih polisi baik,senang
moga polisi profesional tugas,netral
tugas polisi berat moga depan,netral
aman moga polisi sigap,netral
polisi peran masyarakat moga transparan,netral
tugas tantang moga polisi kompeten,netral
moga lapor masyarakat ditindaklanjuti cepat,netral
proses moga tangan,netral
kinerja polisi evaluasi kala biar optimal,netral
gimana aman masyarakat tangan polisi,netral
moga polisi jalan tugas,netral
masyarakat butuh polisi responsif,netral
polisi adaptasi kembang zaman biar efektif,netral
layan polisi cepat transparan,netral
aman butuh kerja polisi masyarakat,netral
polisi contoh taat hukum,netral
tangan polisi transparan,netral
moga polisi masyarakat,netral
profesionalitas tugas kunci percaya publik,netral
transparan percaya,netral
tugas polisi berat akuntabel,netral
polisi manusia jalan tugas,netral
moga polisi jujur integritas,netral
tegas polisi imbang adil,netral
baik terus sistem polisi,netral
lupa polisi lindung rakyat,netral
layan publik tingkat percaya masyarakat,netral
polisi cinta rakyat,netral
moga reformasi polisi jalan arah,netral
tugas berat polisi imbang tanggung,netral
hukum tegak pandang bulu polisi peran,netral
polisi manusia profesional,netral
cepat respons polisi masyarakat,netral
polisi transparan tangan,netral
tegak hukum tingkat aman,netral
polisi layan masyarakat penuh hati,netral
kinerja polisi evaluasi biar efektif,netral
tegas polisi rugi masyarakat,netral
hebat polisi pikir cepat,senang
polisi cari laku keren banget,senang
jaya polisi indonesia,senang
orator aksi kecewa halau polisi,sedih
terima kasih polisi bantu aman,senang
terima kasih polisi selamat korban,senang
terima kasih polres serang jaga kondusifitas kota,senang
keren terima kasih polisi,senang
good job polisi terima kasih evakuasi laku,senang
terima kasih polisi moga cepat usut tuntas,senang
terima kasih polisi rela bantu warga,senang
