kalimat,kata,tf,idf,tfidf
kadang takut hukum pihak kuasa,hukum,1,3.2159964596167145,0.2787059464597025
kadang takut hukum pihak kuasa,kadang,1,6.977196575310277,0.6046605459848682
kadang takut hukum pihak kuasa,kuasa,1,5.51085950651685,0.47758426784875213
kadang takut hukum pihak kuasa,pihak,1,5.677913591180016,0.4920615744505001
kadang takut hukum pihak kuasa,takut,1,3.393677636854167,0.2941042223259453
kecewa polisi henti kepala sekolah cabul,cabul,1,7.3826616834184415,0.5594848918221558
kecewa polisi henti kepala sekolah cabul,henti,1,6.689514502858496,0.5069556832572517
kecewa polisi henti kepala sekolah cabul,kecewa,1,4.247167467489292,0.3218657623761714
kecewa polisi henti kepala sekolah cabul,kepala,1,7.3826616834184415,0.5594848918221558
kecewa polisi henti kepala sekolah cabul,polisi,1,1.5247285289349821,0.11554946070268035
lho iya ubah kejut,iya,1,5.0312864262549635,0.4214756341225447
lho iya ubah kejut,kejut,1,5.878584286642168,0.49245457921575636
lho iya ubah kejut,lho,1,7.3826616834184415,0.6184525687692021
lho iya ubah kejut,ubah,1,5.303220141738605,0.4442557792907219
serius butuh minggu minggu tanggap,butuh,1,5.0312864262549635,0.2884952386546481
serius butuh minggu minggu tanggap,minggu,2,7.3826616834184415,0.8466473835200403
serius butuh minggu minggu tanggap,serius,1,5.590902214190386,0.3205837497465343
serius butuh minggu minggu tanggap,tanggap,1,5.436751534363128,0.31174471070207194
prosedur tangan acu hukum laku,hukum,1,3.2159964596167145,0.34196091171288434
prosedur tangan acu hukum laku,laku,1,4.779971997974058,0.508260379920964
prosedur tangan acu hukum laku,prosedur,1,5.878584286642168,0.6250771937978983
prosedur tangan acu hukum laku,tangan,1,4.549448339362225,0.48374851199444047
lapor masyarakat proses suai tentu hukum,hukum,1,3.2159964596167145,0.27932649143862
lapor masyarakat proses suai tentu hukum,lapor,1,4.314608748284824,0.3747468440100244
lapor masyarakat proses suai tentu hukum,masyarakat,1,3.4806890138437967,0.30231645533024354
lapor masyarakat proses suai tentu hukum,proses,1,4.641821659493241,0.40316703525991054
lapor masyarakat proses suai tentu hukum,suai,1,5.303220141738605,0.4606130305550808
lapor masyarakat proses suai tentu hukum,tentu,1,6.466370951544286,0.5616388988347157
polisi lindung tambah takut,lindung,1,4.124565145396959,0.5046106875095043
polisi lindung tambah takut,polisi,1,1.5247285289349821,0.18653949789346533
polisi lindung tambah takut,takut,1,3.393677636854167,0.41519189178761223
polisi lindung tambah takut,tambah,1,5.996367322298551,0.733612133740073
takut korban tidak adil laku bebas keliar,adil,1,3.532514081708383,0.26748460538747937
takut korban tidak adil laku bebas keliar,bebas,1,5.996367322298551,0.4540494134952503
takut korban tidak adil laku bebas keliar,keliar,1,7.3826616834184415,0.5590206582116226
takut korban tidak adil laku bebas keliar,korban,1,4.984766410620071,0.3774502367018568
takut korban tidak adil laku bebas keliar,laku,1,4.779971997974058,0.36194305077559796
takut korban tidak adil laku bebas keliar,takut,1,3.393677636854167,0.25697180605922565
takut korban tidak adil laku bebas keliar,tidak,1,3.501097885475004,0.2651057475378322
bosan lihat sok benar kamera,benar,1,4.068475678745916,0.3057959091381479
bosan lihat sok benar kamera,bosan,1,6.977196575310277,0.5244220043218367
bosan lihat sok benar kamera,kamera,1,7.3826616834184415,0.5548976864072591
bosan lihat sok benar kamera,lihat,1,4.438222704252,0.3335869386891987
bosan lihat sok benar kamera,sok,1,6.1298987149230735,0.4607371650879499
polisi milik tugas utama tegak hukum jaga tertib,hukum,1,3.2159964596167145,0.2556829097855133
polisi milik tugas utama tegak hukum jaga tertib,jaga,1,4.247167467489292,0.3376645932512791
polisi milik tugas utama tegak hukum jaga tertib,milik,1,5.131369884811947,0.4079617623369021
polisi milik tugas utama tegak hukum jaga tertib,polisi,1,1.5247285289349821,0.12122122390568296
polisi milik tugas utama tegak hukum jaga tertib,tegak,1,4.314608748284824,0.3430264097613379
polisi milik tugas utama tegak hukum jaga tertib,tertib,1,5.303220141738605,0.4216244557789319
polisi milik tugas utama tegak hukum jaga tertib,tugas,1,4.105516950426265,0.32640288421954294
polisi milik tugas utama tegak hukum jaga tertib,utama,1,6.1298987149230735,0.4873482790801342
hilang seram banget sistem,banget,1,3.8711162445874208,0.38645725177337215
hilang seram banget sistem,hilang,1,5.080076590424396,0.5071489239514929
hilang seram banget sistem,seram,1,5.996367322298551,0.5986231075440442
hilang seram banget sistem,sistem,1,4.856933039110186,0.48487228895960544
lapor tindak nyata,lapor,1,4.314608748284824,0.5382935901702605
lapor tindak nyata,nyata,1,5.303220141738605,0.6616334356375949
lapor tindak nyata,tindak,1,4.18398856586776,0.5219973253073278
polisi jujur,jujur,1,3.9649349998050756,0.933365044683927
polisi jujur,polisi,1,1.5247285289349821,0.35892853517402473
korban juang cari adil,adil,1,3.532514081708383,0.33128898445413973
korban juang cari adil,cari,1,5.878584286642168,0.5513099660194132
korban juang cari adil,juang,1,6.466370951544286,0.6064342324163741
korban juang cari adil,korban,1,4.984766410620071,0.46748524244149275
kinerja polisi evaluasi kala biar optimal,biar,1,5.51085950651685,0.40620881583499346
kinerja polisi evaluasi kala biar optimal,evaluasi,1,5.996367322298551,0.4419958930947385
kinerja polisi evaluasi kala biar optimal,kala,1,6.977196575310277,0.5142934156374676
kinerja polisi evaluasi kala biar optimal,kinerja,1,4.247167467489292,0.3130613047894906
kinerja polisi evaluasi kala biar optimal,optimal,1,6.977196575310277,0.5142934156374676
kinerja polisi evaluasi kala biar optimal,polisi,1,1.5247285289349821,0.11238866994814341
hukum jalan polisi penuh tanggung,hukum,1,3.2159964596167145,0.33317352459256694
hukum jalan polisi penuh tanggung,jalan,1,4.520460802488973,0.46831452623156583
hukum jalan polisi penuh tanggung,penuh,1,5.590902214190386,0.5792110220718963
hukum jalan polisi penuh tanggung,polisi,1,1.5247285289349821,0.15796011731077947
hukum jalan polisi penuh tanggung,tanggung,1,5.367758662876176,0.5560936074804891
fix cepat sih tangan gue liat,cepat,1,3.8711162445874208,0.37683940631440593
fix cepat sih tangan gue liat,gue,1,4.032757596143837,0.39257461732532456
fix cepat sih tangan gue liat,liat,1,5.51085950651685,0.5364625843053812
fix cepat sih tangan gue liat,sih,1,4.817712325956904,0.46898717010775015
fix cepat sih tangan gue liat,tangan,1,4.549448339362225,0.44287262457189297
kecewa banget polisi,banget,1,3.8711162445874208,0.6511020491794935
kecewa banget polisi,kecewa,1,4.247167467489292,0.7143519508506737
kecewa banget polisi,polisi,1,1.5247285289349821,0.2564515780222477
gue sampe baca kali tidak percaya headline nya,baca,1,5.878584286642168,0.502012327608868
gue sampe baca kali tidak percaya headline nya,gue,1,4.032757596143837,0.3443846220122663
gue sampe baca kali tidak percaya headline nya,kali,1,4.779971997974058,0.40819434605382116
gue sampe baca kali tidak percaya headline nya,percaya,1,3.4218485138208634,0.2922149370302499
gue sampe baca kali tidak percaya headline nya,sampe,1,6.2840493947503315,0.5366377531808176
gue sampe baca kali tidak percaya headline nya,tidak,1,3.501097885475004,0.29898258032423763
polisi patroli rasa tidak tenang,patroli,1,6.977196575310277,0.700456163467959
polisi patroli rasa tidak tenang,polisi,1,1.5247285289349821,0.15307086222670288
polisi patroli rasa tidak tenang,tenang,1,5.996367322298551,0.6019885499836442
polisi patroli rasa tidak tenang,tidak,1,3.501097885475004,0.35148294394680263
polisi usaha,polisi,1,1.5247285289349821,0.22949990475056645
polisi usaha,usaha,1,6.466370951544286,0.9733086836761916
polisi solusi tambah,polisi,1,1.5247285289349821,0.1673296322302367
polisi solusi tambah,solusi,1,6.689514502858496,0.734133309845007
polisi solusi tambah,tambah,1,5.996367322298551,0.6580646454214878
apresiasi polisi jasa bongkar menarkoba,apresiasi,1,5.773223770984341,0.47999942044019467
apresiasi polisi jasa bongkar menarkoba,jasa,1,7.3826616834184415,0.6138118787560323
apresiasi polisi jasa bongkar menarkoba,menarkoba,1,7.3826616834184415,0.6138118787560323
apresiasi polisi jasa bongkar menarkoba,polisi,1,1.5247285289349821,0.12676952067850258
kerja penting mending mundur aja,aja,1,4.464890951334162,0.3312091452961322
kerja penting mending mundur aja,kerja,1,4.269146374208066,0.3166886576083166
kerja penting mending mundur aja,mending,1,7.3826616834184415,0.5476516879868859
kerja penting mending mundur aja,mundur,1,7.3826616834184415,0.5476516879868859
kerja penting mending mundur aja,penting,1,5.878584286642168,0.4360780360264402
berani lapor takut sangka,berani,1,5.677913591180016,0.6150617193446704
berani lapor takut sangka,lapor,1,4.314608748284824,0.46738130695435653
berani lapor takut sangka,sangka,1,4.779971997974058,0.5177919227337696
berani lapor takut sangka,takut,1,3.393677636854167,0.3676211637788033
polisi benah cinta rakyat,benah,1,6.2840493947503315,0.609026684564916
polisi benah cinta rakyat,cinta,1,7.3826616834184415,0.7155000996766375
polisi benah cinta rakyat,polisi,1,1.5247285289349821,0.14777101555162228
polisi benah cinta rakyat,rakyat,1,3.185459735756633,0.30872290458181134
aneh orang kaya kena hukum lunak banget,aneh,1,6.2840493947503315,0.47955872252865783
aneh orang kaya kena hukum lunak banget,banget,1,3.8711162445874208,0.295418995682168
aneh orang kaya kena hukum lunak banget,hukum,1,3.2159964596167145,0.24542441616052138
aneh orang kaya kena hukum lunak banget,kaya,1,6.689514502858496,0.5105012433555522
aneh orang kaya kena hukum lunak banget,kena,1,5.773223770984341,0.44057575658113185
aneh orang kaya kena hukum lunak banget,orang,1,5.367758662876176,0.40963323575423743
kerja polisi lingkung kondusif,kerja,1,4.269146374208066,0.3900371009406548
kerja polisi lingkung kondusif,kondusif,1,7.3826616834184415,0.6744936124989008
kerja polisi lingkung kondusif,lingkung,1,6.689514502858496,0.6111664053400832
kerja polisi lingkung kondusif,polisi,1,1.5247285289349821,0.13930201567699296
polisi tertib mobil kacau jalan,jalan,1,4.520460802488973,0.4622517517049316
polisi tertib mobil kacau jalan,mobil,1,6.689514502858496,0.6840541113196452
polisi tertib mobil kacau jalan,polisi,1,1.5247285289349821,0.1559151741757412
polisi tertib mobil kacau jalan,tertib,1,5.303220141738605,0.542294891451285
polisi jujur adil sopan ramah,adil,1,3.532514081708383,0.3969231338329819
polisi jujur adil sopan ramah,jujur,1,3.9649349998050756,0.44551115414254777
polisi jujur adil sopan ramah,polisi,1,1.5247285289349821,0.17132274973317038
polisi jujur adil sopan ramah,ramah,1,6.977196575310277,0.7839772654781805
terima kasih polisi sehat,kasih,1,3.521931972377846,0.42321981915470314
terima kasih polisi sehat,polisi,1,1.5247285289349821,0.18322197513661967
terima kasih polisi sehat,sehat,1,6.466370951544286,0.7770440673367428
terima kasih polisi sehat,terima,1,3.5649493574615367,0.4283890870674323
takut polisi takut jahat,jahat,1,4.674611482316232,0.5577478067476341
takut polisi takut jahat,polisi,1,1.5247285289349821,0.18192185513514797
takut polisi takut jahat,takut,2,3.393677636854167,0.8098282674075966
aman sih salah kuasa,aman,1,3.7853494228299955,0.4021367238498138
aman sih salah kuasa,kuasa,1,5.51085950651685,0.5854463458991527
aman sih salah kuasa,salah,1,4.549448339362225,0.4833107980682359
aman sih salah kuasa,sih,1,4.817712325956904,0.511809831749365
tahu cepat sih susah banget,banget,1,3.8711162445874208,0.33631531418461
tahu cepat sih susah banget,cepat,1,3.8711162445874208,0.33631531418461
tahu cepat sih susah banget,sih,1,4.817712325956904,0.41855380520301355
tahu cepat sih susah banget,susah,1,5.878584286642168,0.5107203701482969
tahu cepat sih susah banget,tahu,1,6.689514502858496,0.5811724654140786
terima kasih polisi peduli bersih indah kota,bersih,1,6.2840493947503315,0.49834766965776794
terima kasih polisi peduli bersih indah kota,kasih,1,3.521931972377846,0.27930184517548956
terima kasih polisi peduli bersih indah kota,kota,1,7.3826616834184415,0.5854715669289307
terima kasih polisi peduli bersih indah kota,peduli,1,6.1298987149230735,0.4861229675202815
terima kasih polisi peduli bersih indah kota,polisi,1,1.5247285289349821,0.12091644440131807
terima kasih polisi peduli bersih indah kota,terima,1,3.5649493574615367,0.2827132781965503
nama respons cepat bikin kejut gue,bikin,1,4.269146374208066,0.3271506498717265
nama respons cepat bikin kejut gue,cepat,1,3.8711162445874208,0.2966490450636512
nama respons cepat bikin kejut gue,gue,1,4.032757596143837,0.3090358476168045
nama respons cepat bikin kejut gue,kejut,1,5.878584286642168,0.4504841251917623
nama respons cepat bikin kejut gue,nama,1,6.977196575310277,0.5346723194327031
nama respons cepat bikin kejut gue,respons,1,6.1298987149230735,0.46974270087118986
kecewa kinerja polisi harap baik,baik,1,5.185437106082222,0.5667621187316022
kecewa kinerja polisi harap baik,harap,1,4.2916192300601255,0.46906888616297804
kecewa kinerja polisi harap baik,kecewa,1,4.247167467489292,0.46421036129408144
kecewa kinerja polisi harap baik,kinerja,1,4.247167467489292,0.46421036129408144
kecewa kinerja polisi harap baik,polisi,1,1.5247285289349821,0.1666510178160489
lapor takut tidak proses,lapor,1,4.314608748284824,0.539591354076889
lapor takut tidak proses,proses,1,4.641821659493241,0.580513084906035
lapor takut tidak proses,takut,1,3.393677636854167,0.4244183466458109
lapor takut tidak proses,tidak,1,3.501097885475004,0.43785248188035225
polisi lindung rakyat,lindung,1,4.124565145396959,0.7596001664425701
polisi lindung rakyat,polisi,1,1.5247285289349821,0.28080149143753697
polisi lindung rakyat,rakyat,1,3.185459735756633,0.586649903730389
deg degan temu razia tidak salah,deg,1,6.689514502858496,0.4735895733339614
deg degan temu razia tidak salah,degan,1,6.689514502858496,0.4735895733339614
deg degan temu razia tidak salah,razia,1,6.2840493947503315,0.44488434405780086
deg degan temu razia tidak salah,salah,1,4.549448339362225,0.3220818636423893
deg degan temu razia tidak salah,temu,1,6.1298987149230735,0.4339711223797051
deg degan temu razia tidak salah,tidak,1,3.501097885475004,0.2478630479198492
emosi banget senyap,banget,1,3.8711162445874208,0.5008656528797395
emosi banget senyap,emosi,1,6.689514502858496,0.865525041674331
