kalimat,kata,tf,idf,tfidf
masyarakat kecewa polisi,polisi,1,1.5271916775446353,0.26943528203665273
masyarakat kecewa polisi,masyarakat,1,3.4975810906847284,0.6170618668704477
masyarakat kecewa polisi,kecewa,1,4.190728271244673,0.7393505807451479
viral udah langsung kembang signifikan,viral,1,5.192176811459135,0.4191939569848588
viral udah langsung kembang signifikan,udah,1,4.418986923225654,0.35676994090860564
viral udah langsung kembang signifikan,signifikan,1,6.983936280687191,0.5638528869760587
viral udah langsung kembang signifikan,langsung,1,4.527200507865887,0.3655066389048565
viral udah langsung kembang signifikan,kembang,1,6.136638420299986,0.4954457129259321
takut polisi takut jahat,takut,2,3.373018368042966,0.8058743848739682
takut polisi takut jahat,polisi,1,1.5271916775446353,0.18243669607408575
takut polisi takut jahat,jahat,1,4.715252739368826,0.5632790851164056
tidak kunjung selesai bukti sistem udah gagal total,udah,1,4.418986923225654,0.2945343325313015
tidak kunjung selesai bukti sistem udah gagal total,tidak,1,3.477378383367209,0.231774236696816
tidak kunjung selesai bukti sistem udah gagal total,sistem,1,4.9044947390073546,0.32689440124035557
tidak kunjung selesai bukti sistem udah gagal total,selesai,1,5.5976419195673,0.37309404964826554
tidak kunjung selesai bukti sistem udah gagal total,kunjung,1,7.3894013887953545,0.4925184083292146
tidak kunjung selesai bukti sistem udah gagal total,gagal,1,7.3894013887953545,0.4925184083292146
tidak kunjung selesai bukti sistem udah gagal total,bukti,1,5.37449836825309,0.3582210848518411
layan percaya masyarakat,percaya,1,3.3640496980602057,0.48544119293142884
layan percaya masyarakat,masyarakat,1,3.4975810906847284,0.5047101230446852
layan percaya masyarakat,layan,1,4.94705435342615,0.7138729157921108
polisi patroli rasa tidak tenang,tidak,1,3.477378383367209,0.3490718612839705
polisi patroli rasa tidak tenang,tenang,1,6.003107027675465,0.602613668291235
polisi patroli rasa tidak tenang,polisi,1,1.5271916775446353,0.1533050426631125
polisi patroli rasa tidak tenang,patroli,1,6.983936280687191,0.7010728680689242
viral langsung kabar mantap banget,viral,1,5.192176811459135,0.41958089447960434
viral langsung kabar mantap banget,mantap,1,6.003107027675465,0.4851123349208568
viral langsung kabar mantap banget,langsung,1,4.527200507865887,0.3658440202549789
viral langsung kabar mantap banget,kabar,1,7.3894013887953545,0.5971390722937031
viral langsung kabar mantap banget,banget,1,3.877855949964334,0.3133703506702888
gue heran cepat tangan,tangan,1,4.58604100788882,0.4814991910988344
gue heran cepat tangan,heran,1,6.290789100127245,0.6604846877457459
gue heran cepat tangan,gue,1,3.9394138429637673,0.41360828992320897
gue heran cepat tangan,cepat,1,3.819868692313985,0.4010569644469118
teknologi polisi bantu selidik,teknologi,1,6.983936280687191,0.6608687985787816
teknologi polisi bantu selidik,selidik,1,6.136638420299986,0.5806915609111196
teknologi polisi bantu selidik,polisi,1,1.5271916775446353,0.14451353628889763
teknologi polisi bantu selidik,bantu,1,4.786711703350971,0.4529520724987607
sedih polisi lindung rakyat kecewa,sedih,1,4.94705435342615,0.5814416647491657
sedih polisi lindung rakyat kecewa,rakyat,1,3.2073512461541487,0.3769693063322876
sedih polisi lindung rakyat kecewa,polisi,1,1.5271916775446353,0.17949527293300224
sedih polisi lindung rakyat kecewa,lindung,1,4.211347558447409,0.49497190859145257
sedih polisi lindung rakyat kecewa,kecewa,1,4.190728271244673,0.4925484638866664
hukum jalan polisi,polisi,1,1.5271916775446353,0.2694519035232699
hukum jalan polisi,jalan,1,4.393669115241364,0.7752023036535867
hukum jalan polisi,hukum,1,3.2383614828967087,0.5713642096752811
polisi pilar adil negeri,polisi,1,1.5271916775446353,0.22524354667752855
polisi pilar adil negeri,negeri,1,5.5976419195673,0.8255890452606904
polisi pilar adil negeri,adil,1,3.5078375908519175,0.5173664784518512
polisi adil bikin masyarakat bahagia,polisi,1,1.5271916775446353,0.1647083345067027
polisi adil bikin masyarakat bahagia,masyarakat,1,3.4975810906847284,0.37721575144714026
polisi adil bikin masyarakat bahagia,bikin,1,4.418986923225654,0.47658980011048624
polisi adil bikin masyarakat bahagia,bahagia,1,6.290789100127245,0.6784645376543404
polisi adil bikin masyarakat bahagia,adil,1,3.5078375908519175,0.37832191977246893
masyarakat bangga polisi profesional,profesional,1,5.37449836825309,0.6214883094989504
masyarakat bangga polisi profesional,polisi,1,1.5271916775446353,0.17659913705892227
masyarakat bangga polisi profesional,masyarakat,1,3.4975810906847284,0.40444811970269173
masyarakat bangga polisi profesional,bangga,1,5.5976419195673,0.6472918541238857
polisi transparan bukti maju tegak hukum negeri,transparan,1,5.13810959018886,0.39796893431810726
polisi transparan bukti maju tegak hukum negeri,tegak,1,4.298358935437038,0.3329265938817229
polisi transparan bukti maju tegak hukum negeri,polisi,1,1.5271916775446353,0.11828763745570114
polisi transparan bukti maju tegak hukum negeri,negeri,1,5.5976419195673,0.433561711816793
polisi transparan bukti maju tegak hukum negeri,maju,1,6.983936280687191,0.5409362393277575
polisi transparan bukti maju tegak hukum negeri,hukum,1,3.2383614828967087,0.2508251810638858
polisi transparan bukti maju tegak hukum negeri,bukti,1,5.37449836825309,0.41627827327627526
polisi milik peran aman giat masyarakat,polisi,1,1.5271916775446353,0.1588999051368057
polisi milik peran aman giat masyarakat,peran,1,6.003107027675465,0.6246060342322967
polisi milik peran aman giat masyarakat,milik,1,5.192176811459135,0.5402310757224943
polisi milik peran aman giat masyarakat,masyarakat,1,3.4975810906847284,0.3639132609808538
polisi milik peran aman giat masyarakat,aman,1,3.8484420647580406,0.40041933701322996
bangga polisi simpati orang,polisi,1,1.5271916775446353,0.19518292169526788
bangga polisi simpati orang,orang,1,5.249335225299084,0.670891939300669
bangga polisi simpati orang,bangga,1,5.5976419195673,0.7154073195459257
kadang takut hukum pihak kuasa,takut,1,3.373018368042966,0.2912085663660752
kadang takut hukum pihak kuasa,pihak,1,5.885323992019081,0.5081077466263925
kadang takut hukum pihak kuasa,kuasa,1,5.37449836825309,0.4640057639721269
kadang takut hukum pihak kuasa,kadang,1,6.983936280687191,0.602956121187962
kadang takut hukum pihak kuasa,hukum,1,3.2383614828967087,0.2795830030883056
keluarga tabrak lari kecewa lapor polisi direspon,polisi,1,1.5271916775446353,0.1261778650231817
keluarga tabrak lari kecewa lapor polisi direspon,lari,1,7.3894013887953545,0.6105185778229079
keluarga tabrak lari kecewa lapor polisi direspon,lapor,1,4.1705255639271535,0.34457234112680596
keluarga tabrak lari kecewa lapor polisi direspon,keluarga,1,7.3894013887953545,0.6105185778229079
keluarga tabrak lari kecewa lapor polisi direspon,kecewa,1,4.190728271244673,0.3462415058521607
dendam lihat polisi indak semena pena,semena,1,7.3894013887953545,0.56389051857705
dendam lihat polisi indak semena pena,polisi,1,1.5271916775446353,0.11654109199197121
dendam lihat polisi indak semena pena,pena,1,7.3894013887953545,0.56389051857705
dendam lihat polisi indak semena pena,lihat,1,4.27588607958498,0.32629593277333585
dendam lihat polisi indak semena pena,dendam,1,6.473110656921199,0.49396771579801535
polisi lindung tambah takut,tambah,1,6.003107027675465,0.7307706853073026
polisi lindung tambah takut,takut,1,3.373018368042966,0.410604530788008
polisi lindung tambah takut,polisi,1,1.5271916775446353,0.18590821447124065
