kalimat,kata,tf,idf,tfidf
terima kasih polisi kronologi,terima,1,3.5426066820956073,0.677177912793053
terima kasih polisi kronologi,polisi,1,1.530544572554946,0.29256733024237047
terima kasih polisi kronologi,kasih,1,3.5320245727650703,0.6751551167695435
marah banget lihat tidak kelar,tidak,1,3.5111904858622283,0.3062483715271645
marah banget lihat tidak kelar,marah,1,6.139991315310298,0.5355341298274676
marah banget lihat tidak kelar,lihat,1,4.21470045345772,0.36760897921756175
marah banget lihat tidak kelar,kelar,1,6.9872891756975015,0.6094360132447415
marah banget lihat tidak kelar,banget,1,3.851794959768352,0.3359561204768778
moga layan polisi depan,polisi,1,1.530544572554946,0.16121473223889424
moga layan polisi depan,moga,1,4.907847634017665,0.5169515193318841
moga layan polisi depan,layan,1,4.907847634017665,0.5169515193318841
moga layan polisi depan,depan,1,6.294141995137556,0.6629721437813618
wow tidak sangka polisi tanggap cepat,wow,1,5.783316371371566,0.5365286690090858
wow tidak sangka polisi tanggap cepat,tidak,1,3.5111904858622283,0.3257394610715813
wow tidak sangka polisi tanggap cepat,tanggap,1,5.377851263263401,0.4989129411440536
wow tidak sangka polisi tanggap cepat,sangka,1,4.907847634017665,0.45530985851192535
wow tidak sangka polisi tanggap cepat,polisi,1,1.530544572554946,0.14199137478229207
wow tidak sangka polisi tanggap cepat,cepat,1,3.881208844974645,0.36006673023261954
marah,marah,1,6.139991315310298,1.0
partisipasi publik awas bantu jaga kredibilitas polisi,publik,1,5.520952106904074,0.4854756751256506
partisipasi publik awas bantu jaga kredibilitas polisi,polisi,1,1.530544572554946,0.1345858731036304
partisipasi publik awas bantu jaga kredibilitas polisi,jaga,1,4.348231846082243,0.3823544834666881
partisipasi publik awas bantu jaga kredibilitas polisi,bantu,1,4.7900645983612815,0.4212063064044482
partisipasi publik awas bantu jaga kredibilitas polisi,awas,1,7.392754283805666,0.6500694640115559
polisi integritas hati masyarakat,polisi,1,1.530544572554946,0.1856451427166791
