kalimat,kata,tf,idf,tfidf
kolaborasi instansi tingkat efektivitas tegak hukum,efektivitas,1,6.002827111648444,0.4380338890671498
kolaborasi instansi tingkat efektivitas tegak hukum,hukum,1,3.094106215084083,0.22578084515379834
kolaborasi instansi tingkat efektivitas tegak hukum,instansi,1,7.101439400316553,0.5182010177269827
kolaborasi instansi tingkat efektivitas tegak hukum,kolaborasi,1,7.101439400316553,0.5182010177269827
kolaborasi instansi tingkat efektivitas tegak hukum,tegak,1,4.157000421150114,0.3033415801359174
kolaborasi instansi tingkat efektivitas tegak hukum,tingkat,1,4.904214822980334,0.3578667604073168
hukum indonesia butuh polisi jujur adil,adil,1,3.305950211144359,0.3376872633790121
hukum indonesia butuh polisi jujur adil,butuh,1,4.904214822980334,0.5009424754832461
hukum indonesia butuh polisi jujur adil,hukum,1,3.094106215084083,0.31604839566354637
hukum indonesia butuh polisi jujur adil,indonesia,1,5.848676431821186,0.5974147862218907
hukum indonesia butuh polisi jujur adil,jujur,1,3.8627609481521734,0.3945628610109358
hukum indonesia butuh polisi jujur adil,polisi,1,1.4702276184951881,0.1501768355011088
lapor proses suai mekanisme,lapor,1,4.081014514172191,0.3791914356700202
lapor proses suai mekanisme,mekanisme,1,7.101439400316553,0.6598371537710399
lapor proses suai mekanisme,proses,1,5.021997858636718,0.46662381898793615
lapor proses suai mekanisme,suai,1,4.850147601710058,0.4506561851022968
kinerja polisi terus,kinerja,1,4.211067642420389,0.5234039063158251
kinerja polisi terus,polisi,1,1.4702276184951881,0.1827381899407098
kinerja polisi terus,terus,1,6.69597429220839,0.832259037073511
kinerja polisi bagus,bagus,1,7.101439400316553,0.8468201852890541
kinerja polisi bagus,kinerja,1,4.211067642420389,0.5021541240019897
kinerja polisi bagus,polisi,1,1.4702276184951881,0.17531916476759374
polisi solusi tambah luka,luka,1,7.101439400316553,0.6352008085279481
polisi solusi tambah luka,polisi,1,1.4702276184951881,0.1315071099454336
polisi solusi tambah luka,solusi,1,6.408292219756609,0.5732010328907838
polisi solusi tambah luka,tambah,1,5.59736200354028,0.5006659452890514
percaya rakyat aset besar polisi,aset,1,6.69597429220839,0.6187890373649496
percaya rakyat aset besar polisi,besar,1,7.101439400316553,0.656258918965791
percaya rakyat aset besar polisi,percaya,1,3.2198756023731163,0.2975554620551313
percaya rakyat aset besar polisi,polisi,1,1.4702276184951881,0.13586681983152493
percaya rakyat aset besar polisi,rakyat,1,3.049654452513249,0.28182496834885945
polisi manusia,manusia,1,6.185148668442399,0.9728921591362739
polisi manusia,polisi,1,1.4702276184951881,0.23125926293050206
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,dedikasi,1,6.002827111648444,0.46058760160276974
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,indonesia,1,5.848676431821186,0.4487598593429105
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,kasih,1,3.463853240590168,0.26577607962280464
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,lindung,1,4.157000421150114,0.31896018629686085
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,masyarakat,1,3.3402392846229914,0.256291372759755
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,patut,1,6.69597429220839,0.513771708276826
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,polisi,1,1.4702276184951881,0.11280828183420603
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,terima,1,3.4905214876723294,0.26782229280437164
polisi profesional bawa dampak sistem hukum,bawa,1,5.492001487882454,0.470579591909238
polisi profesional bawa dampak sistem hukum,dampak,1,6.69597429220839,0.5737414414061087
polisi profesional bawa dampak sistem hukum,hukum,1,3.094106215084083,0.26511705126640495
polisi profesional bawa dampak sistem hukum,polisi,1,1.4702276184951881,0.12597576935324464
polisi profesional bawa dampak sistem hukum,profesional,1,5.229637223414962,0.4480990319936792
polisi profesional bawa dampak sistem hukum,sistem,1,4.7035441275181835,0.4030209898774108
hukum tegak dasar atur tetap,atur,1,5.309679931088499,0.45176253953561235
hukum tegak dasar atur tetap,dasar,1,6.69597429220839,0.5697123725296008
hukum tegak dasar atur tetap,hukum,1,3.094106215084083,0.2632552808193005
hukum tegak dasar atur tetap,tegak,1,4.157000421150114,0.3536893167728841
hukum tegak dasar atur tetap,tetap,1,6.185148668442399,0.5262498881524911
polisi pakai sogok makan,polisi,1,1.4702276184951881,0.2027331128658286
polisi pakai sogok makan,sogok,1,7.101439400316553,0.9792340297128828
tangan adil takut hukum negeri,adil,1,3.305950211144359,0.36514833561385157
tangan adil takut hukum negeri,hukum,1,3.094106215084083,0.3417497731338616
tangan adil takut hukum negeri,negeri,1,5.309679931088499,0.5864640014672544
