kalimat,kata,tf,idf,tfidf
kolaborasi instansi tingkat efektivitas tegak hukum,efektivitas,1,6.001706663351954,0.4398094569018581
kolaborasi instansi tingkat efektivitas tegak hukum,hukum,1,3.0485340042167595,0.22339880303190246
kolaborasi instansi tingkat efektivitas tegak hukum,instansi,1,7.100318952020064,0.520316569482894
kolaborasi instansi tingkat efektivitas tegak hukum,kolaborasi,1,7.100318952020064,0.520316569482894
kolaborasi instansi tingkat efektivitas tegak hukum,tegak,1,4.1299044864503625,0.30264242341824776
kolaborasi instansi tingkat efektivitas tegak hukum,tingkat,1,4.797733859026018,0.35158144862071683
hukum indonesia butuh polisi jujur adil,adil,1,3.3048297628478696,0.32891703622248825
hukum indonesia butuh polisi jujur adil,butuh,1,5.2285167751184725,0.5203742295123766
hukum indonesia butuh polisi jujur adil,hukum,1,3.0485340042167595,0.3034089019539639
hukum indonesia butuh polisi jujur adil,indonesia,1,6.001706663351954,0.597326854828787
hukum indonesia butuh polisi jujur adil,jujur,1,3.9016458344693827,0.38831585175437705
hukum indonesia butuh polisi jujur adil,polisi,1,1.4691071701986984,0.1462146043790656
lapor proses suai mekanisme,lapor,1,3.9868036428096896,0.48940805599061127
lapor proses suai mekanisme,proses,1,5.085415931477799,0.6242704050441339
lapor proses suai mekanisme,suai,1,4.9602527885237935,0.6089057530665348
kinerja polisi terus,kinerja,1,4.296958571113529,0.5098235651243543
kinerja polisi terus,polisi,1,1.4691071701986984,0.17430595214381073
kinerja polisi terus,terus,1,7.100318952020064,0.8424353788220985
kinerja polisi bagus,bagus,1,7.100318952020064,0.8424353788220985
kinerja polisi bagus,kinerja,1,4.296958571113529,0.5098235651243543
kinerja polisi bagus,polisi,1,1.4691071701986984,0.17430595214381073
suara rakyat abai,abai,1,5.59624155524379,0.6190719984783711
suara rakyat abai,rakyat,1,3.057267684185514,0.33820355973708804
suara rakyat abai,suara,1,6.407171771460119,0.7087793823758968
percaya rakyat aset besar polisi,aset,1,7.100318952020064,0.8327698606925207
percaya rakyat aset besar polisi,percaya,1,3.2826066260631594,0.3850046569974478
percaya rakyat aset besar polisi,polisi,1,1.4691071701986984,0.17230608677384612
percaya rakyat aset besar polisi,rakyat,1,3.057267684185514,0.35857549508174846
ubah sistem butuh tidak instan,butuh,1,5.2285167751184725,0.5450281318981897
ubah sistem butuh tidak instan,sistem,1,4.797733859026018,0.5001226992277159
ubah sistem butuh tidak instan,tidak,1,3.7861329473475385,0.39467196074249145
ubah sistem butuh tidak instan,ubah,1,5.2285167751184725,0.5450281318981897
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,dedikasi,1,5.847555983524696,0.4588887747186235
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,indonesia,1,6.001706663351954,0.4709857972674072
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,kasih,1,3.462732792293678,0.27173903297559304
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,lindung,1,4.055796514296642,0.3182798930352113
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,masyarakat,1,3.339118836326502,0.26203838933032986
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,patut,1,6.184028220145909,0.48529353814884457
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,polisi,1,1.4691071701986984,0.1152886421544728
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,terima,1,3.4894010393758395,0.27383183196065725
polisi profesional bawa dampak sistem hukum,bawa,1,5.395570859781639,0.46167595962119223
polisi profesional bawa dampak sistem hukum,dampak,1,6.6948538439119,0.5728500566920072
polisi profesional bawa dampak sistem hukum,hukum,1,3.0485340042167595,0.2608500376346772
polisi profesional bawa dampak sistem hukum,polisi,1,1.4691071701986984,0.12570522753088398
